,titles,keys,cluster_num
7914,LOGO Littles by Lori Goldstein Twin Set Peplum Knit Top with Tank,"['care', 'content']",1
19022,LOGO Layers by Lori Goldstein Knit Top with Asymmetric Hem,"['care', 'fabrication', 'content']",1
15370,LOGO by Lori Goldstein Slub Knit Top w/ Pockets and Asymmetric Hem,"['care', 'fabrication', 'content']",1
12885,LOGO by Lori Goldstein Solid Tank with Embroidered Mesh Hi-Low Hem,"['care', 'fabrication']",1
12066,LOGO by Lori Goldstein Stripe Cardigan with Scalloped Lace Trim,"['care', 'fabrication']",1
269,LOGO by Lori Goldstein Slub Knit Vest with Embroidery and Chiffon Hem,"['care', 'fabrication']",1
16555,LOGO by Lori Goldstein Slub Knit Tank with Pockets and Seam Detail,"['care', 'content']",1
9761,LOGO by Lori Goldstein Sweater Knit Cardigan with Crochet Hem,"['care', 'fabrication']",1
2909,LOGO by Lori Goldstein Printed Top with Contrast Stripe Detail,"['care', 'content']",1
8847,'As Is' LOGO by Lori Goldstein Twin Set Novelty Knit Top with Tank,['care'],1
2309,LOGO Layers by Lori Goldstein Short Sleeve Scoop Neck Top with Curved Hem,"['care', 'content']",1
4324,LOGO by Lori Goldstein Cotton Slub Top w/ Embroidered Appliques,"['care', 'fabrication', 'content']",1
10784,Mercedes-Benz GLC Coupe Prices & Deals - Montana,"['transmissions_available', 'drive_wheels', 'seating']",2
10240,Mercedes-Benz Metris Prices & Deals - Mississippi,"['transmissions_available', 'engines_available', 'seating', 'drive_wheels']",2
2798,Mercedes-Benz C-Class Prices & Deals - Maine,"['transmissions_available', 'drive_wheels', 'seating']",2
7567,Mercedes-Benz GLE Coupe Prices & Deals - Ohio,"['transmissions_available', 'drive_wheels', 'seating']",2
5094,Mercedes-Benz E-Class Prices & Deals - Georgia,"['transmissions_available', 'drive_wheels', 'seating']",2
8792,Mercedes-Benz GLC Prices & Deals - Connecticut,"['transmissions_available', 'drive_wheels', 'seating']",2
1113,Mercedes-Benz AMG GT Prices & Deals - Nevada,"['transmissions_available', 'drive_wheels', 'seating']",2
761,Mercedes-Benz GLE Prices & Deals - West Virginia,"['transmissions_available', 'drive_wheels', 'seating']",2
12863,Mercedes-Benz GLE Coupe Prices & Deals - Texas,"['transmissions_available', 'drive_wheels', 'seating']",2
8164,Mercedes-Benz CLA Prices & Deals - Virginia,"['drive_wheels', 'seating']",2
5129,Mercedes-Benz C-Class Prices & Deals - Utah,"['transmissions_available', 'drive_wheels', 'seating']",2
14393,Mercedes-Benz E-Class Prices & Deals - New Mexico,"['transmissions_available', 'drive_wheels', 'seating']",2
18635,Mercedes-Benz G-Class Prices & Deals - Massachusetts,"['transmissions_available', 'drive_wheels', 'seating']",2
18750,RB5277,"['temple_length', 'shape']",3
16551,RB4278,"['temple_length', 'shape']",3
12849,RB2180F,"['temple_length', 'shape']",3
3729,RB4213,"['temple_length', 'shape']",3
16673,RB8902,"['temple_length', 'shape']",3
17356,RB7104D,"['temple_length', 'shape']",3
4153,RB7037,"['temple_length', 'overall', 'comfort', 'shape']",3
2995,RB6286,"['temple_length', 'shape']",3
11114,RB6262,"['temple_length', 'shape']",3
7501,RB7054F,"['temple_length', 'shape']",3
5039,RB5169,"['temple_length', 'overall', 'comfort', 'fit', 'shape']",3
5629,RB1037,['shape'],3
1853,RB4257F,"['temple_length', 'shape']",3
9051,RB8726D,"['temple_length', 'shape']",3
15913,RB4250,"['temple_length', 'overall', 'comfort', 'fit', 'shape']",3
14551,RB8411,"['temple_length', 'overall', 'shape']",3
17084,RB5268,"['temple_length', 'overall', 'comfort', 'fit', 'shape']",3
16543,Guild F2512E 12String Acoustic Electric Guitar Natural with Bag,"['number_of_frets', 'fingerboard_material', 'neck_material', 'bridge']",4
678,"Ibanez GIO Series GRX20Z Electric Guitar, Black With Accessory Bundle","['number_of_frets', 'number_of_strings', 'dexterity']",4
2073,Artcore AF75TDG Hollowbody Electric Guitar Level 3 Vintage Sunburst 190839022813,"['special_features', 'body_finish', 'orientation', 'number_of_strings', 'accessories', 'number_of_frets', 'neck_finish', 'case', 'truss_rod', 'neck_wood', 'fret_size', 'color']",4
