,Titles,Cluster_num
1537,number_of_handles,-1
1313,base_included,-1
5556,units,-1
5559,green_indicator,-1
1310,levelers,-1
1308,number_of_casters,-1
1307,coolant_through,-1
1306,balanced_to_rpm,-1
1305,for_use_with,-1
1304,coolant_through,-1
1303,balanced_to_rpm,-1
1302,for_use_with,-1
1301,coolant_through,-1
5555,units,-1
1300,balanced_to_rpm,-1
4088,control_location,-1
1297,case,-1
4077,protection_type,-1
1295,year_built,-1
1294,foundation,-1
1293,year_built,-1
1292,foundation,-1
5566,back_rise,-1
5568,lead_time,-1
4075,flooring_product_type,-1
5570,indooroutdoor,-1
5571,dome_type,-1
1299,for_use_with,-1
2402,sound_mode,-1
1315,leg_caps,-1
4093,occasion,-1
4106,special_features,-1
4105,standard,-1
1341,technology,-1
1340,support_details_service_included,-1
1339,support_details_full_contract_period,-1
4104,eu_rohs_indicator,-1
5529,width_including_mirrors,-1
2376,0-100_kmh,-1
1335,installed_qty,-1
4103,item,-1
1333,max_supported_qty,-1
5535,pieces_in_set,-1
2386,in_the_box,-1
1331,qty,-1
5536,product,-1
4101,select_code,-1
4100,number_of_poles,-1
1326,technology,-1
1325,support_details_service_included,-1
4099,mfrvendor,-1
4097,mounting,-1
5541,diverse_supplier,-1
5542,mounting_hardware_included,-1
4096,mounting,-1
1319,interest,-1
4094,size_womens,-1
1330,family,-1
2403,plating,-1
5574,pieces_in_set,-1
4055,gears,-1
5634,phase,-1
4005,copyright_holder,-1
5635,decoration,-1
5636,pattern_type,-1
4004,copyright,-1
2438,yield_type,-1
5641,number_of_hdmi_inputs,-1
5646,subject,-1
5647,number_of_pages,-1
5648,acid_free,-1
5649,grade,-1
5651,subject,-1
2430,hardware,-1
5652,number_of_pages,-1
5653,acid_free,-1
2440,service_support,-1
1228,release_date,-1
5654,grade,-1
3995,installation_type,-1
3993,finish_type,-1
5672,votes,-1
3989,number_of_channels,-1
5680,cordless,-1
5683,series,-1
3987,indooroutdoor,-1
5686,chuck_size,-1
1231,ron,-1
2427,hardware,-1
2426,garage_spaces,-1
2425,fireplace,-1
5584,stain_resistant,-1
5585,hypoallergenic,-1
4054,engine_layout,-1
4050,release_date,-1
4039,series,-1
5592,installation,-1
4034,productgroep,-1
5594,number_of_burners,-1
1272,garage,-1
1271,air_conditioning,-1
1270,stories,-1
1269,beds,-1
5597,vga,-1
4032,productgroep,-1
2416,item_type,-1
5607,unknown,-1
1262,video,-1
4030,activity,-1
5611,roof_type,-1
4029,level,-1
1257,casters,-1
4020,current_stock,-1
2423,fireplace,-1
5619,voltage_type,-1
2424,garage_spaces,-1
1252,locking,-1
