,titles,keys,cluster_num
0,"Offering you a complete choice of products which include Restaurant Uniform Chef Coat, Restaurant Uniform Waistcoat and Chef Shirt.","['size', 'color']",-1
11135,"Berkley Jensen Vitamin C 1000mg with Natural Rose Hips Tablets, 375 ct.",['estimated_delivery'],-1
11136,Global Views Sea Urchin Medium Gold Wall Sculpture,"['usage', 'finish']",-1
11137,2015 Scion tC,"['epa_classification', 'drivetrain', 'front_wheel_material', 'exterior_color', 'suspension_type-front', 'engine_type', 'engine', 'warranty', 'fuel_system', 'rear_wheel_material', 'min_ground_clearance_in', 'transmission', 'steering_type']",-1
11139,New VOLGREN Endura Buses for sale,"['year', 'fuel_type']",-1
11142,3M 51111559925 Abrasive Green Corps Depressed Center Wheels,"['grit', 'manufacturer', 'hazmat']",-1
11143,Who Was Dr. Seuss?,"['paperback', 'grade_level', 'age_range']",-1
11145,Knowing: A Series of Gifts,"['sold_by', 'x-ray', 'lending', 'print_length']",-1
11146,Seat Ibiza 1.2 TSI 90 FR Technology 3dr,"['transmission_type_manual', 'fuel_type_petrol', 'fuel_aspiration_turbo']",-1
11150,York Wallcoverings Inspired by Color Mustard and Cream Wallpaper,['usage'],-1
11151,NDS Spee-D Channel Drain - 400-1,['color'],-1
11154,Smooth Leather Portfolio,['color'],-1
11134,LG MUSIC flow HS9 LAS950M,"['power', 'speaker_type']",-1
11155,"Sundown Naturals Iron Ferrous Sulfate 65 mg, 120 Ct by Sundown Naturals",['certification'],-1
11157,Bombay Collection Adderley Quilt Rack,"['finish', 'color', 'assembly']",-1
11158,Moschino Jeans Moschino loves you Black Vintage Mens Shirt,"['colour', 'size', 'fabric']",-1
11159,E606958 - Elo 1528L Medical Misc,"['color', 'vesa_mount_standard', 'product_type']",-1
11160,"Ativa® Cat 5e Network Cable, 25', Black","['cable_type', 'color']",-1
11161,Del Monte California Sliced Yellow Cling Peaches in Light Syrup 106 oz. Can,['availability'],-1
11162,Bury My Heart at Wounded Knee,['format'],-1
11164,4.5 in. Garden Sage,['organic'],-1
11165,"Rachael Ray Nutrish Natural Wet Cat Food, Grain Free, Chicken Purrcata, 2.8 oz tub",['animal_type'],-1
11171,Ladies Period Panties Menstrual Panties Waterproof Panties Underwear Pants Black 1pc BKNI Tie Dyed 12014 Medium,"['color', 'size_type']",-1
11173,Take Your Shoes Off,['number_of_discs'],-1
11176,42 Professional Choice Training Elastic Smx English Horse Girth Cinch Black,['platform'],-1
11156,be quiet! Dark Rock Pro 3,"['rohs_compliance', 'number_of_speeds']",-1
11177,Flower Mountain Yamano,['color'],-1
11130,Lv Monogram Men's Casual Business Bag Louis Vuitton Handbag,['color'],-1
11127,3 Month Short Let - 2 Double Bed West Kensington,"['parking', 'garage']",-1
11092,"Sorry, it looks like your browser may not be supported.","['athlete_type', 'age', 'sport_interest']",-1
11096,150 x 90 cm spanish flag HP,"['ships_to', 'location', 'free_shipping']",-1
11097,Summit Dishwasher,"['us_electrical_safety', 'door']",-1
11099,Rising Sun Fashion Limited - Hong Kong,"['minimum_order_quantity', 'season']",-1
11100,Water-resistant Lovers Hiking Shoes,['closure_type'],-1
11101,Refrigerator Condenser Fan Part #: WP12825803,['category'],-1
11102,MKS AR-2 Road Pedals,"['level', 'age']",-1
11103,Sylvania Turn Signal Light Mini Bulb,"['package_quantity', 'lens_material', 'part_number', 'light_color']",-1
11104,Designs2Go White 3-Tier Folding Metal Shelf,"['finish', 'number_of_drawers', 'included', 'number_of_doors', 'colorfinish', 'number_of_shelves', 'furniture_features', 'assembly_required', 'colorfinish_family']",-1
11106,Kolcraft Contour Options Tandem LT Stroller - Crimson,['color'],-1
11107,Refrigerator Butter Storage Tray Part #: WP2151651,['category'],-1
11129,Vero Moda Asta Long Sleeve Blouse,['overall'],-1
11109,Straight Scissors 7- Multi-Colored,['color'],-1
11111,Plantation Grown Hardwoods Other Wood Product and,['usage'],-1
11113,Vice and Virtue in Everyday Life,['paperback'],-1
11115,Little Mermaid Child Costume,['care_instructions'],-1
11116,LSI Logic SCSI Data Transfer Cable,"['product_type', 'packaged_quantity', 'features', 'packing', 'cable_type']",-1
11118,Girls' Benton Springs™ Fleece,"['waist', 'inseam', 'chest', 'hip', '3t', 'sleeve_length']",-1
11119,Decoil Zit By Labor Saving Devices (56-200) MCM Part #22-7860,['hazardous'],-1
11120,Oakland Living GOD Bless America Outdoor Bench,['finish'],-1
11121,Tommy Hilfiger VTH 1018 UNN,"['year', 'frame_material', 'lens_material', 'frame_shape']",-1
11122,Aqualisa Hydramax fixed head - chrome (235012),['product_type'],-1
11123,3D Printing: The Next Industrial Revolution,"['lending', 'x-ray', 'sold_by']",-1
11124,54N16 argon ceramic cup for tig welding,['color'],-1
11110,uxcell® DC 12V Car Auto Push Button Cigarette Lighter Black,['exterior'],-1
11091,"Ferrari 550 Maranello Prodrive, 5 X Le Mans, 5 X Race Winner, Driven by Colin McRae (2002)","['technical', 'interior', 'previous_owners', 'fuel', 'dimension']",-1
11185,Chanel T Bar Heels,"['email', 'colour', 'phone', 'fabric']",-1
11190,A Chair for My Mother 25th Anniversary Edition (Reading Rainbow Books),"['paperback', 'grade_level', 'age_range']",-1
11245,King Controls Tailgater VQ2500 Automatic Portable Satellite System w/DISH Receiver - Enjoy Live HD TV & Movies Outdoors!,"['tech_support_by', 'packaging', 'each_master_box_has']",-1
11246,The Party,['number_of_discs'],-1
11248,Intervention-ware Mug,"['machine_wash_safe', 'microwave_safe', 'hand_wash_only', 'oven_safe', 'color']",-1
11249,Details about Little Black Dress Connected Apparel Black Sequins Cocktail Stretch Size 10,"['size_type', 'occasion', 'season', 'color']",-1
11250,Howard Elliott Collection Tapered Mirrored Candleholder II,"['usage', 'assembly']",-1
11252,Casa Vita Hair therapy wrap,"['classification', 'size', 'category']",-1
11254,Sideview Mirror Cover W/LED,['color'],-1
11256,Paper Roll Form Stickers Manufacturer from India,['color'],-1
11257,Ditsy Daisy Pillowcase Set,['size'],-1
11258,Stunning Unbranded Size 16 Ice White Embellished Front Drop Waist Dress.,"['colour', 'size', 'garment_care', 'fabric', 'brand_type']",-1
11259,MEN Dry Stretch Pants,['care'],-1
11244,Graf von Faber-Castell Guilloche Fountain Pen Chevron GV13760,"['tip_type', 'ink_type']",-1
11260,"X-acto School Electric Pencil Sharpener, Blue/Gray (EPI1670)",['power_type'],-1
11262,What's the Secret?: To Providing a World-Class Customer Experience,['hardcover'],-1
11264,Personal: (Jack Reacher 19),"['x-ray', 'format', 'sold_by', 'print_length']",-1
11265,"Brecknell® Counting Scale, 12 Lb","['digital_display', 'automatic_shut-off', 'color']",-1
11266,Touch Toothbrush Holder,"['mount_type', 'product_information']",-1
11267,Dome of the Hidden Pavilion: New Poems,['paperback'],-1
11269,VXi OmniCord-P Headset Adapter,['form_factor'],-1
11272,Maxi Cosi Pebble Plus iSize Baby Car Seat - Sparkling Grey,['care_instructions'],-1
11274,Southern Enterprises OttLite Alton Task Floor Lamp - Honey Brass,['finish'],-1
11276,"Sundown Naturals Methylcobalamin B12 5000 mcg, 90 Ct by Sundown Naturals","['certification', 'color']",-1
11278,The Fat Lady Sang,['paperback'],-1
11280,"LT-300-NA-2801 Libra WiFi Speaker, Classic Collection(Discontinued by manufacturer)","['department', 'batteries']",-1
11261,Women's Dresses In Stock,['fit'],-1
11187,Mother Knows Best (Novella),"['x-ray', 'lending', 'sold_by']",-1
11243,Flying Comfort™ Business Class Version Travel Goods,['minimum_order_quantity'],-1
11236,Lucky Jim (New York Review Books Classics),['paperback'],-1
11192,MITSUBISHI ASX,"['fuel_consumption', 'engine', 'model', '0-100_kmh', 'release_date', 'fuel_type', 'transmission']",-1
11194,Simer 1 1/2 HP Thermoplastic Sprinkler Pump,"['housing_material', 'power_source']",-1
11195,"Easter Programs, Dramas and Skits for Youth: Includes Poems, Quotes and Readings",['format'],-1
11197,First Loot Appealing Multi Colored Printed Chiffon Saree,"['warranty', 'product_color']",-1
11198,8 ft. Aluminum Grade Rod in Feet and 10ths,['measurement_standard'],-1
11199,CowboyStudio Shoulder Support Pad for Video Camcorder Camera DV / DC,['color'],-1
11200,Other Manufacturer Morinaga Hi-Chew - Grape,['product_name'],-1
11204,2017 Suzuki KingQuad 500AXi Power Steering,"['model', 'year']",-1
11205,Sturgis Motorcycle Boots,"['width', 'size', 'color']",-1
11206,"Formbys 30013 Furniture Refinisher, 32-Ounce",['size'],-1
11207,"Detalles acerca de BotÃ¡nicos PapelerÃa Set [con 16 sobres y 16 hojas de escritura, 3 Etiqueta Shee- mostrar tÃtulo original","['estado_del_artãculo', 'group']",-1
11237,Melrose International White Coral Storage Box,"['usage', 'finish']",-1
11209,S-6XL Plus size women steampunk corset hot woman brocade steel boned overbust corset with chain stud vintage gothic corset top,"['decoration', 'quantity', 'item_type', 'fabric_type']",-1
11211,Skil Reciprocating Saw,['dimensions'],-1
11216,2012 Venom Segad C1 Racing RTR Gas Boat W/ Clutch VNR1813,['minimum_order'],-1
11219,O-Ring Rubber Seal Assorted 419 Pieces Gasket Sealing Ring Rubber Seal,"['ships_to', 'location']",-1
11220,Galaxy Aqua 3000M White And Chrome Electric Shower 9.5kW,"['shape', 'voltage']",-1
11222,"TREND superSpots® Sticker Pack, Animal Designs, Pack Of 2,500 Item # 1372816",['color'],-1
11223,Gaggia Classic Espresso Machine,"['category', 'assembly_required', 'color']",-1
11226,Meeting Street Collection 2-Light Roasted Java Bath Light,"['bulb_type_included', 'light_direction', 'certifications_and_listings', 'energy_star_certified', 'connection_type', 'maximum_bulb_wattage', 'maximum_wattage_watts', 'shade_color_family', 'fixture_colorfinish_family', 'light_bulb_base_code', 'recommended_light_bulb_shape_code', 'number_of_bulbs_required']",-1
11229,Hillsdale Furniture Kaylie Pewter Queen Headboard Only,['assembly'],-1
11233,Windows 7 Professional Upgradable to Windows 8.1 Pro,"['processor_core', 'processor_generation', 'wireless_lan_standard', 'optical_drive_type', 'memory_card_supported', 'graphics_memory_technology', 'vpro_technology', 'memory_card_reader', 'hyper-threading', 'screen_mode', 'memory_technology', 'wwan_supported', 'product_line', 'number_of_total_memory_slots', 'speakers', 'vga', 'total_number_of_usb_ports', 'battery_chemistry', 'optical_media_supported', 'number_of_cells', 'aspect_ratio', 'green_compliance_certificateauthority', 'keyboard', 'number_of_usb_20_ports', 'number_of_usb_30_ports', 'product_type', 'memory_standard', 'display_screen_type', 'finger_print_reader', 'touchscreen', 'backlight_technology', 'bluetooth', 'processor_type', 'microphone', 'ethernet_technology']",-1
11234,Destiny Undone - Book 1: A Billionaire Beach Romance,"['lending', 'x-ray', 'sold_by']",-1
11235,MartinLogan Motion® Vision X,"['design', 'usb_port', 'enclosure', 'wi-fi', 'color']",-1
11210,Datacard YMCKT Ribbon - 135 Prints,"['coming_soon', 'warranty_years', 'thickness', 'features', 'discontinued', 'color']",-1
