,titles,keys,cluster_num
58,Sportsman's Outdoor Products Horn Hunter Full Curl System,"['overall', 'quality', 'value', 'comfort']",0
145,BIG Rutsche Baby Slide,"['product_group', 'package_quantity', 'binding']",1
17681,Elixir™ 2 Backpacking Tent,"['size', 'number_of_doors', 'capacity', 'color_family', 'color']",2
18233,Women's Adidas Outdoor Waterproof Wandertag Rain Jacket,['bust'],2
716,Winter Outdoor Double Sleeping Bag Camping Portable Waterproof Hiking Backpacking Sleeping Bags Double Sleeping Bag Goose Down,['unit_type'],2
1025,Cooler Bag,"['minimum_order_quantity', 'port', 'production_lead_time']",2
18909,Paw Patrol Girls Skye and Everest Backpack with Detachable Insulated Lunch Box,"['productgroup', 'producttypename', 'color']",2
14189,LOCAL LION 33L Multi-function Handlebag Backpack Travel Bag for Camping Hiking,['type'],2
2511,On Your Back Backpack Beach Chair,"['finish', 'water_resistant']",2
212,Bali Patch Cotton Backpack (Indonesia),"['product_features', 'type', 'dimensions', 'color']",2
229,Honey-Can-Do Travel Duffel,"['share', 'colour']",3
16159,Fleece Zip-Up Sleep & Play,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",4
355,Cotton Snap-Up Sleep & Play,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",4
16125,myBaby Deep Sleep SoundSpa,['department'],4
17745,Smith’s Outdoor Multi-Tool and Survival Kit,['number_of_blades'],5
7912,"Leaf & Fiber, Eco Friendly Hand Made Bag, Rummy (LNFBG1106-03)",['color_family'],5
424,Woods Disney Garden Winnie the Pooh Tree Trunk Bird Bath + Free Stickers,['color'],5
8038,Willow Picnic Basket From BellacorPro,['weight'],5
1195,Wine Trail Olive Snack Bowl By Grasslands Road,['color'],5
7298,Natural Willow Snack Basket Tray Organizer - 11',['color'],5
558,Safari Ltd Rainforest TOOB,['manufacturer_recommended_age'],6
577,Airblown Inflatables Christmas Animated Cookie Jar and Friends Decoration,"['wattage', 'bulb_included', 'etl_listed', 'outdoor_use', 'holiday', 'number_of_items_included', 'product_information', 'season']",7
893,Texsport Heavy-Duty Camp Grill,['size'],8
906,Sun Valley II Cedar Playset,"['mounting', 'certifications_and_listings', 'assembly_required', 'color_family', 'recommended_age_range']",9
1377,"Maxwell & Williams White Basics Tea Party, Set of Sixteen",['finish'],10
1857,Pet Dog Puppy Cat Exercise Playpen Crate Cage Tent Red,['colour'],11
1900,Oakland Living Hummingbird Mississippi 42 Inch 5Pc Bar Set,['finish'],12
2033,NEW Guitar Teens Bedspread Set and Sheet Set (Full/Queen),"['productgroup', 'binding', 'producttypename', 'color']",13
3437,Summer Infant® Walk Thru Multi-Use Bronze Deco Extra Tall Baby Gate with Auto Close,['finish'],14
3540,Waterfall Scroll Welted Outdoor Chaise Cushion,"['fill_material', 'fabric_color_family', 'cushion_style']",15
4683,Creek Vine Designs WF2CSBSCVD 2 ft. Cedar Classic Porch Swing,"['frame_material', 'color']",16
3565,251 First River Station Distressed Natural Wood Open Nightstand,"['assembly', 'usage', 'collection']",16
8816,Montana Woodworks Montana Unfinished Log Rocker Childs,['collection'],16
8604,"East Coast Rustic Real Reclaimed Brown Unsealed Wood, 5.5-Inch Planks","['usage', 'assembly']",16
16,TecTake 3 in 1 Pushchair stroller combi stroller buggy baby jogger travel buggy kid's stroller brown with mosquito net + rain cover,"['colour', 'seating_capacity', 'dishwasher_safe', 'is_portable']",17
3733,Zerowin Baby Nylon Stroller Organizers Mesh Netting Bag Storage Hanging Insulated Drink Holders Pouch Holder Black,['color'],17
543,Joie Litetrax 4 Wheel Stroller - Eclipse,"['colour', 'number_of_wheels', 'number_of_seats']",17
19039,Cottage Farms True Blue Butterfly Patio Tree,['type'],18
3927,New Home Outdoor Patio Furniture Garden Storage Bench Best Choiceproducts Wicker,['platform'],18
11881,City Life Gray Maple Media Storage,"['number_of_doors', 'number_of_shelves', 'assembly_required', 'number_of_drawers', 'included', 'color_family', 'frame_material', 'colorfinish_family']",19
2213,Home Horizontal 5 Ft. W x 2 Ft. D Storage Shed,"['shape', 'number_of_lights', 'assembly_required', 'frame_material', 'water_resistant', 'product_type', 'replaceable_bulb_included', 'reversible', 'color', 'pattern', 'number_of_items_included', 'shelf_material']",19
3978,Lifetime 7' x 4.5' Outdoor Storage Shed,"['water-resistant', 'assembly_required', 'color', 'estimated_delivery']",19
4578,"Keter Novel Plastic Deck Storage Container Box Outdoor Patio Furniture 90 Gal, Brown",['color'],20
17222,Semi-custom Rear Seat Pet Protectors,['year'],20
772,Carolina Pet Company National Parks Pet Bed,"['size', 'care']",20
13398,Pet Sentinel 6ft x 5ft Kennel Panel (542027),"['color_family', 'number_of_pieces', 'assembly_required']",20
11589,Waterproof Rattan Garden Storage Box Foldable Aluminium Cushion Chest Hub with Lining Black Patio Deck Container with Casters,"['producttypename', 'productgroup']",20
6924,"2014 Ford Se - Heated Seats, Backup Camera","['model', 'engine']",21
4717,"GLS w/ Heated Seats, & Back-Up Camera","['engine', 'transmission']",21
5102,Bush Series A: Slate Storage Hutch,['finish'],22
9284,'As Is' Cuddl Duds Comfortwear Lounge Pants,"['rise', 'care']",23
5718,Cuddl Duds Fleecewear Stretch Lounge Long Sleeve Pullover Top,['care'],23
14159,"Green Mountain Coffee® Fair Trade Organic Sumatran Extra Bold Coffee K-Cups, 24/Box (Green Mountain Coffee® 4060) - New & Original","['global_product_type', 'for_use_with', 'quantity', 'type', 'packing_type', 'beverage_type']",24
17544,"Green Mountain Coffee Roasters® Fair Trade Certified Golden French Toast Flavored Coffee K-Cups, 24/Box (Green Mountain Coffee Roasters® 6739) - New & Original","['global_product_type', 'for_use_with', 'type', 'packing_type', 'quantity', 'beverage_type']",24
