,Titles,Cluster_num
0,"Offering you a complete choice of products which include Restaurant Uniform Chef Coat, Restaurant Uniform Waistcoat and Chef Shirt.",0
2101,Potato Chips Seasoning Machine,0
1097,"Offering you a complete choice of products which include Industrial Worker Uniform, Industrial Uniform, Industrial Uniform Trouser, Industrial Uniform Shirt, Factory Uniform Shirt and Technician Uniform.",0
3,Stochastic Calculus for Finance II,1
4,Stochastic Calculus for Finance II,1
5,Stochastic Calculus for Finance II,1
1007,The Debt 2010,1
1016,Belkin HDMI to DVI Adapter,2
200,Microsoft Visio 2016 Professional - Box Pack - 1 PC (d87-07120),2
497,Excelvan EHD-200 Portable Pocket Mini DLP LED Projector Multimedia Player 854x480 Home Pico Wireless Display HDMI/USB,2
827,STARTECH StarTech.com 15 ft High Speed HDMI Cable - HDMI to HDMI - M/M,2
14,StarTech.com Mini DisplayPort to HDMI™ Video Adapter Cable Item # 947751,2
610,"Security in Computing, 4th Edition",3
1348,"ADO.NET Programming in Visual Basic .NET, 2nd Edition",3
21,".NET Developer's Guide to Windows Security, The",3
20,".NET Developer's Guide to Windows Security, The",3
1893,Lying Retriever Christmas Christmas Ornament,4
661,Airblown Inflatables Christmas Animated Cookie Jar and Friends Decoration,4
963,Boxer Gifts Mistletoe Underwear for Him,4
26,A Plain and Simple Christmas,4
188,Pine Cones and Frosted Berries Christmas Wreath,4
263,Inside Out Pyjamas - Anger,4
409,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4
462,Dragon Ball Z Characters Women Compression Fitness Leggings Tights,5
27,Lace-Up Ankle Supports,5
50,5th Element Lynx LX Womens Inline Skates,5
49,5th Element Lynx LX Womens Inline Skates,5
48,5th Element Lynx LX Womens Inline Skates,5
1991,Quacker Factory DreamJeannes Springtime Cut-Out Pedal Pushers,5
1009,"Best Practice, Fourth Edition: Bringing Standards to Life in America's Classrooms",6
55,"Teacher Created Resources Graphic Organizers, Grades K-3 Education Printed Book",6
443,Rediform National College Ruled Composition Book,6
197,"Gartner Studios® Clipboard With Notepad And Pen, 6' x 9', 1 Subject, 160 Pages (80 Sheets), 'Things To Do' OfficeMax # 25054501",6
289,The Jungle Book - Illustrated,6
1690,"Teacher Created Resources US Map Bulletin Board Display, 1 set",6
489,God Hates Charades Party Game,7
279,The Triumph of Faith: Why the World Is More Religious than Ever,7
412,Strengthen Yourself in the Lord: How to Release the Hidden Power of God in Your Life,7
60,Approaching God: Accepting the Invitation to Stand in the Presence of God,7
447,Called to Rise: A Life in Faithful Service to the Community That Made Me,7
161,WubbaNub Oatmeal Bunny Pacifier - Mary Meyer Limited Edition,8
1492,Stokke Tripp Trapp Highchair - Lava Orange [Baby Product],8
73,WubbaNub Okey Dokey Dino Pacifier- Mary Meyer Limited Edition,8
2038,Midori Ribbon Crib Ensemble,8
75,Made by Dad: 67 Blueprints for Making Cool Stuff,9
76,Made by Dad: 67 Blueprints for Making Cool Stuff,9
74,Made by Dad: 67 Blueprints for Making Cool Stuff,9
1072,Armani Code Ice by Giorgio Armani for men,9
861,Honey 12 in. x 12 in. Polished Onyx Floor and Wall Tile (5 sq. ft. / case),10
2115,Ocean Blue Glass Tile Backsplash Kitchen Tiles Marble Stone Gray Mosaic Bathroom Wall Subway Fireplace Deco Sheets (1PCS Small Sample 2.8x5.9 Inches),10
1741,Sonoma Gray Wave Decor 8 in. x 12 in. Ceramic Wall Tile (16.15 sq. ft. / case),10
360,Cretacolor Sketching Set,10
86,Blue Zephyr Pencil 12 in. x 12 in. x 8 mm Glass Mosaic Wall Tile,10
873,Toltec Lighting Zilo Dark Granite One-Light Wall Sconce with Natural Fusion Glass,10
87,Blue Zephyr Pencil 12 in. x 12 in. x 8 mm Glass Mosaic Wall Tile,10
1752,Crema Arched Basketweave 12 in. x 12 in. x 10 mm Polished Marble Mesh-Mounted Mosaic Tile (10 sq. ft. / case),10
1807,Kirloskar 4 HP Borewell Submersible Pump Set 80HHF-0405,11
89,0.02 - 55.5 GPH Tygothane 65 PSI Peristaltic Pump 1/2' Hose Barb,11
90,0.02 - 55.5 GPH Tygothane 65 PSI Peristaltic Pump 1/2' Hose Barb,11
1534,"Square D by Schneider Electric 9013FHG9J27X1 Air-Compressor Pressure Switch, 100 psi Set Off, 20 psi Fixed Differential, 1/4"" NPT External, 2-Way Quick-Connect Release Valve",11
2163,73 gal. Medium Deck Box with Seat,11
229,Garden Hand Polished Metal Transplanter,12
92,Polished Brass Post Mount Mailbox with Lewiston Post System,12
91,Polished Brass Post Mount Mailbox with Lewiston Post System,12
2071,St. George Wall Sconce - Polished Nickel,12
1652,Cold Silence of Deception (A John Jacobs Thriller Book 1),13
1218,Guardians of Time (The After Cilmeri Series Book 11),13
815,The Lightkeeper's Daughters: A Novel,13
2056,My Toddler Bible,13
93,Secrets of the Baby Whisperer for Toddlers Paperback,13
1697,The Orange Parenting Book,13
1564,Secret Paris of the 30s,13
187,Disney Frozen Toddler Bed by Delta Children,13
315,Ampeg PF-50T Portaflex - 50W All-tube Bass Head,14
1094,"1994 Duncan 3276NP Yo Yo String, White (5-Pack)",14
96,Dunlop Signature II TL Radial - 235/65R16 103T,14
95,Dunlop Signature II TL Radial - 235/65R16 103T,14
484,Speakers TRACER 2.1 Hi-Cube TRG-495,14
1322,2014 Nissan Rogue SV(859) 354-4434,15
99,2017 Nissan Pathfinder at Santa Maria Nissan,15
98,2017 Nissan Pathfinder at Santa Maria Nissan,15
97,2017 Nissan Pathfinder at Santa Maria Nissan,15
695,2015 Nissan Armada Platinum - Located at Ancira Nissan of San Antonio,15
1190,"2017 Nissan Titan in 730 Medford Ave., Patchogue, New York 11772",15
1795,2017 Nissan Micra SV,15
903,2014 Nissan Pathfinder SUV,15
915,NISSAN ELGRAND RIDER 3.5 V6 Automatic Low Mileage Black 8 Seater MPV Alphard Estima 2002 (2002),15
277,2014 Nissan Altima 2.5 S(844) 240-2377,15
921,"Hallowell MedSafe Antimicrobial Hi-Tech Shelving 48""W x 24""D x 87""H 711 Platinum 11 Adjustable Shelves Starter Unit Open Style with Sway Braces",16
370,"Iceberg OfficeWorks Mobile Training Table, Trapezoid, 29'H x 48'W x 18'D, Mahogany Item # 667302",16
103,"Durham MTM304836-3K295 Mobile Heavy Duty Machine Tables - 2 Shelves, 30X48X36",16
570,"Shelving, Open, Add-On, Steel, 87""",16
104,"Durham MTM304836-3K295 Mobile Heavy Duty Machine Tables - 2 Shelves, 30X48X36",16
711,Compatible Thermal Cartridge w/Ribbon for Brother PC-201,17
42,Zebra technologies Zebra Direct Thermal Printer - Q3D-LUGA0000-00,17
112,Zebra GK42-202210-000 GK420d Desktop Thermal Printer,17
1234,windows 7 monochrome printer,17
377,Dascom 1140 Dot Matrix Printer - Monochrome,17
759,EPSON UltraChrome K3 Light Cyan T603500,17
37,Bios 57065 Living Digital Heating Pad with Moist Technology,17
818,Bretford C15-BK Tall Printer/Copier Stand,17
113,"O'Cedar Commercial 96937 MaxiDust Loop-End Mop, 36"", Green (Pack of 12)",18
1222,"Zep Commercial Floor Stripper, Heavy -Duty, 128oz., 4/CT",18
123,John Deere D105 17.5-HP Automatic 42-in Riding Lawn Mower with Mulching Capability,18
114,"O'Cedar Commercial 96937 MaxiDust Loop-End Mop, 36"", Green (Pack of 12)",18
614,Kalmbach 17 % all Natural Layer Crumbs,18
2143,Wii U Mario Kart 8 & Nintendoland 32GB Deluxe bundle,19
185,Halo 0428 DECAL SKIN PROTECTIVE STICKER for SONY PS4 CONSOLE CONTROLL,19
117,Final Fantasy X-2 Sony Ps2 Complete Pack Square Enix Very Good Condition,19
118,Final Fantasy X-2 Sony Ps2 Complete Pack Square Enix Very Good Condition,19
120,Manchester 16 in. x 11-1/2 in. x 9 in. Newspaper Holder,20
1891,Slugger BBCOR Select 716 (-3),20
121,Manchester 16 in. x 11-1/2 in. x 9 in. Newspaper Holder,20
129,Webster ReClaim Heavy-Duty Recyled Can Liners - Medium Size - 33 gal - 33' Width x 39' Length - 1.65 mil (42 Micron) Thickness - Black - Plastic - 100/Carton - Can Item # 768907,21
10,Master Craft 1.6 Liter Copper Watering Can,21
1202,DSG Canusa Highly Flexible Silicone Tubing Transparent,21
131,Webster ReClaim Heavy-Duty Recyled Can Liners - Medium Size - 33 gal - 33' Width x 39' Length - 1.65 mil (42 Micron) Thickness - Black - Plastic - 100/Carton - Can Item # 768907,21
130,Webster ReClaim Heavy-Duty Recyled Can Liners - Medium Size - 33 gal - 33' Width x 39' Length - 1.65 mil (42 Micron) Thickness - Black - Plastic - 100/Carton - Can Item # 768907,21
2080,PLAYTEX DROP-INS LINERS (50) Size: 8 OZ,21
124,PTFE(Teflon) Tube,22
133,ProLine Brass Gas Ball Valve - 110-125,22
598,Special Lite Products Company Brass 2-Inch House Number Five,22
2114,1997-1999 Subaru Legacy Outback 2.5 Engine EGR Valve Tube Pipe Exhaust Gas Return Tube 14725 AA121,22
612,Continental 650c Supersonic Road Long Valve Inner Tube,22
1404,Pierburg - EGR Valve Motor (Part Number: 701132110),22
2136,Brass basket,22
1604,Gum tin can,23
2030,KeepCup Brew Café Series Glass Coffee Cup 12oz - Cino,23
722,"Evenflo Feeding Advanced Angled Vented Bottles, 9 Ounce (Pack of 6)",23
54,"Swan Retro Digital Microwave, 20 Litre, 800 Watt, Cream",23
1061,Copper Moscow Mule Mug - Threshold™,23
1636,"Cafejo Colombian Coffee Single-Serve Cups, 0.5 Oz, Box Of 24 Item # 554081",23
2092,212 Mugs Gift Box of 4,23
134,"2-Tone Mug, 12 Oz.",23
135,"2-Tone Mug, 12 Oz.",23
1553,"Munchkin Miracle 360 Degree Trainer Cup, 7 oz/207 ml, Blue",23
1497,Elizabeth Warren Mug,23
154,"48"" x 36"" x 43-1/2"" Gray Steel Little Giant® Fixed Vertical Sheet Rack",24
153,"48"" x 36"" x 43-1/2"" Gray Steel Little Giant® Fixed Vertical Sheet Rack",24
1729,"Ballymore # SEP3-3648 ( 9P502 ) - Roll Work Platform, Steel, Single, 30 In.H, Each",25
1243,Lovis 2000 M/ME Rolling-ball viscometer from Anton Paar,25
1642,Schneider Electric / Square D AL600LF52K3 Mechanical Lug Kit; 3-Pole,25
158,"Plate Caster, Kingpinless Swivel, Poly, 6 in, 3200 lb, A",25
355,"Robot Coupe 28178 1/4"" Waffle Cut / Gaufrette Disc",25
1323,"8 Lb. Head, 29-7/8 Inch Overall Length, Sledge Hammer",25
100,TecTake Heavy Duty PRO-USE Moulded Mechanics Creeper Crawler Board 6 wheels & Headrest,25
19,Tough-1 Swivel No Knot,25
847,General International 16-inch Variable-speed Scroll Saw (With Multi-directional Led Light),25
895,Dart Non-Laminated Foam Plates,25
776,Bridgewater Server with Casters - Rubbed Black,25
172,Power2000 4 AAA Nickel Metal Hydride (NiMH) 1000mAh Rechargeable Batteries with 110/220V Rapid Battery Charger,26
171,Power2000 4 AAA Nickel Metal Hydride (NiMH) 1000mAh Rechargeable Batteries with 110/220V Rapid Battery Charger,26
2150,ROCHE 04805640001 COAGUCHEK XS PLUS RECHARGEABLE BATTERY PACK,26
988,Odec 20v 3.0ah Rechargeable Battery For Black Decker Lbxr20 Lb20 Lbx20 Lb2x...,26
984,3DR Solo Smart Battery,26
178,Climate Concepts Girls' Faux Fur Coat,27
179,Climate Concepts Girls' Faux Fur Coat,27
177,Climate Concepts Girls' Faux Fur Coat,27
176,Climate Concepts Girls' Faux Fur Coat,27
532,Tresemme Hair Spray Freeze Hold 360g with Free Styling Tools,27
1295,Details about A BATHING APE COLOR CAMO SWAROVSKI APE HEAD FULL ZIP HOODIE MEN'S BAPE JAPAN NEW,27
1448,Marketing in the Moment: The Practical Guide to Using Web 3.0 Marketing to Reach Your Customers First,28
601,"Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 3rd Edition",28
1073,Outside-in Software Development: A Practical Approach to Building Successful Stakeholder-based Products,28
190,Next Generation SOA: A Concise Introduction to Service Technology & Service-Orientation,28
577,"Samsung Galaxy S8 SM-G950F 64GB Smartphone (Unlocked, Arctic Silver)",29
1657,Uniden Corded Basic Phone Black,29
816,HTC ONE M8 EYE 4G PHONE (16GB) GSM UNLOCKED,29
199,Apple iPhone 5S 32GB Black - AT&T T-Mobile Unlocked GSM 7318164,29
502,Apple iPhone 4S 8GB,29
595,"Apple iPhone 6, Gold, 16 GB (T-Mobile)",29
2053,Refurbished KingZone S2 3G Smartphone,29
115,1-1/2 in. x 5 in. Galvanized Steel Nipple,30
1345,"1-3/4 in. Thick Antique Brass Plated Lock and Door Reinforcer, 2-1/8 in. Single Bore, 2-3/8 in. Backset",30
204,2-3/4 in. x 1-3/4 in. Antique Brass Door Reinforcer,30
1359,5/8 in. x 16 in. x 21-1/2 in. 4 Cutter SDS-Max Rotary Hammer Bit,30
1026,"Modern Wire Style 3 Inch Center To Center Brushed Nickel, Cabinet Hardware Pull / Handle",30
1482,#8 x 1-1/2 in. Philips Pan-Head Sheet Metal Screws (2-Pack),30
1163,Hamilton: Brass Beaux Arts Door Set,30
995,3m 00051144807550 Pg Flap Wheel-diameter:2 Width:1 Grit:120 (pack Of 2),30
1746,6-3/4 in. Long Side Cutting Long-Nose Pliers With Spring and Rubber Grip,30
46,36 in. x 80 in. Craftsman 3 Lite Arch Stained Mahogany Wood Prehung Front Door,30
1145,3/4 in. Brass-Plated Steel Cup Hook (4-Pack),30
214,southeasttexas.com - Autos,31
402,New Holland Series T7. Auto Command-T7.200,31
1459,Auto Repair For Dummies,31
1059,Find My Car - GPS Auto Parking Reminder & Tracker,31
225,LIST YOUR BOAT FOR 30 DAYS FREE,31
215,TEAC TASCAM DIGITAL POCKETSTUDIO 8 track digital multitrack recorder DP-008EX DP-008EX,32
138,Soundcraft Signature 12 Analogue Mixer,32
216,TEAC TASCAM DIGITAL POCKETSTUDIO 8 track digital multitrack recorder DP-008EX DP-008EX,32
217,TEAC TASCAM DIGITAL POCKETSTUDIO 8 track digital multitrack recorder DP-008EX DP-008EX,32
219,APC APC Smart-UPS RT 3000VA Tower/Rack-mountable UPS,33
218,APC APC Smart-UPS RT 3000VA Tower/Rack-mountable UPS,33
1412,Aruba 2930F 48G PoE+ 4SFP - switch - 48 ports - managed - rack-mountab,33
814,Power Stack in Ahmedabad,33
459,Eaton PW9130L700T 700VA Tower UPS 120V,33
1043,Joy Carpets Kid Essentials Note Worthy Rug,34
329,Safavieh - Porcello - Rug,34
221,Geneva High Pile Machine Made Hand Carved Rugs - Grace,34
477,Handmade Canvas Do It Yourself 4-foot 3-panel Room Divider (China),34
222,Geneva High Pile Machine Made Hand Carved Rugs - Grace,34
227,"Cutting Tip, SC",35
142,Weller LT Series Soldering Tips - Sloped,35
228,"Cutting Tip, SC",35
1173,Belkin 6-Outlet Wall Mount Surge Protector,36
235,Tripp Lite Protect It! Surge Suppressor,36
2049,"Quatech Device Server, 8 Port, Surge",36
