,Titles,Cluster_num
21,".NET Developer's Guide to Windows Security, The",0
20,".NET Developer's Guide to Windows Security, The",0
25,Cut Resistant Gloves High Performance Level 5 Protection Food Grade Certified Kitchen and Work Safety Lightweight Breathable Size Large,1
74,Made by Dad: 67 Blueprints for Making Cool Stuff,2
75,Made by Dad: 67 Blueprints for Making Cool Stuff,2
76,Made by Dad: 67 Blueprints for Making Cool Stuff,2
120,Manchester 16 in. x 11-1/2 in. x 9 in. Newspaper Holder,3
121,Manchester 16 in. x 11-1/2 in. x 9 in. Newspaper Holder,3
147,"WGI Gallery Fishermans Walleye: 24-Inch x 24-Inch, Wall Art",4
1396,Gel-Resolution 7,4
620,"Pixlr – Photo Editor for Collages, Effects, Overlays, and Filters",4
320,HOKO Black Leather wallet Flip Case Cover Stand for Apple iPad 2 (with 5 card slots and Auto wake sleep feature),5
321,Arachnids,6
343,Intellinet Set Of Cage Nuts - Cage Nut - 50 / Pack (711081),7
360,Cretacolor Sketching Set,8
362,Viking Security Safe VS-50BL Large Biometric Safe Fingerprint Safe,9
467,"Bayer® Aspirin, 2-Tablet Dosage, Box Of 50 Packets",10
672,Redi-Tag Write-On Self-Stick Index Tabs/Flags,11
673,Redi-Tag Write-On Self-Stick Index Tabs/Flags,11
955,Clearblue Digital Ovulation Test--Pack Of 10 Sticks,12
975,"Samsung Galaxy Note 5 Canada Hockey Jersey Slim Fit Polycarbonate Plastic Case, White/Red",13
1481,N95 Drywall Sanding Valve Respirator Dust Mask (2-Pack) (Case of 6),14
1484,The Soft Skin [Blu-ray],15
1505,Rasav Gems 9.83ctw 14.70x12x8.3mm Oval Golden Brown Beer Quartz Excellent Loupe Clean Aaa+ - (code -1490),16
1517,"Details about Met Manta helmet size Large, white (aero helmet)",17
1841,Calvin Klein CK4185/S 250 Yellow Clear Round Sunglasses,18
1855,Frameless Mask,19
1854,Frameless Mask,19
8,""" Packing List Enclosed"" Envelopes SHPPL405",20
63,Sportsman's Outdoor Products Horn Hunter Full Curl System,21
30,Owner JH-62 Jig Head D. AX ST-46 Treble Hook 4 grams Size 6 (0651) 4953873180651,21
16,13 in. EZ-Stretch Polyurethane Bungee Strap with Galvanized S-Hooks (Overall Length: 18 in.) in Military Green,21
36,"Universal Office Products Business Card Holder, Capacity 50 3 1/2 x 2 Cards, Black",22
300,"HON® 1870 Series Bookcase, Six Shelf, 36w x 11 1/2d x 72 5/8h, Harvest (HON® 1876C) - New & Original",23
299,"HON® 1870 Series Bookcase, Six Shelf, 36w x 11 1/2d x 72 5/8h, Harvest (HON® 1876C) - New & Original",23
482,"DeWalt DACG1B121A 3/8"" x 1 1/2""x 1/8 Straight Cartridge Roll 120g",24
1382,3M RP45 Gray VHB Tape - 1 in Width x 36 yd Length - 0.045 in Thick - 92210,24
472,"3M™ 471 Vinyl Tape, 3' Core, 3' x 36 Yd., Red, Case Of 12 Item # 114626",24
559,E446956572265 - Disc Mill Holders,24
306,Tatco Hazard/aisle Marking Tape - 2' Width X 36 Yd Length - 1 Roll -...,24
736,Manhattan Portage Nylon Messenger Bag (1603 BLK),25
376,BOX PB3559 Reclosable Poly Bag,25
958,Active Elements Multicolor Both Side Printed Poly Canvas Tote Bags_code - 15917,25
1000,Essential Waitrose Small Reclosable Freezer Bags 180x200mm 40 per pack,25
1191,4 in 1 Fresh Style Portable Notebook School Office Supplies，Random Color Delivery,25
999,Essential Waitrose Small Reclosable Freezer Bags 180x200mm 40 per pack,25
478,"Paper Mate® SharpWriter® Mechanical Pencils, 0.7 mm, #2 Polymer Lead, Yellow Barrel, Pack Of 6 Item # 567456",26
1472,"BIC® Cristal Ballpoint Pens, Bold Point, Bold Point, 1.6 mm, Translucent Barrel, Assorted Ink Colors, Pack Of 24 Item # 402716",26
1470,"BIC® Cristal Ballpoint Pens, Bold Point, Bold Point, 1.6 mm, Translucent Barrel, Assorted Ink Colors, Pack Of 24 Item # 402716",26
1471,"BIC® Cristal Ballpoint Pens, Bold Point, Bold Point, 1.6 mm, Translucent Barrel, Assorted Ink Colors, Pack Of 24 Item # 402716",26
653,Joyo Jmd-05 Portable Digital Electronic Practice Drum Pad + Drum Stick Bag I3c8,27
654,Joyo Jmd-05 Portable Digital Electronic Practice Drum Pad + Drum Stick Bag I3c8,27
683,"EcoSmart™ 3-Compartment Plate, 10' Diameter, White, 50 Plates Per Pack, Case Of 10 Packs Item # 471908",28
825,Genuine Joe Floor Sweep - 24' Width x 60' Metal Handle - 1 Each Item # 118060,29
863,#10-20 x 1-1/8 in. Internal Hex Flat-Head Cap Screws (2-Pack),30
896,"Tube Cleaner- 0.8""x20"", Pink",31
976,65MM Solid Rubber Dog Chew Training Ball Toys Tooth Cleaning Chew Red Balls Puppy Pet Play Chewing Toy With Rope Handle hot sale,32
1117,DYMO 1/2' Black on White Paper Tape,33
1375,"3M™ Eraser Burnish Pads, Case Of 5",34
1473,"Carton Tape, Clear, 3 In. x 110 Yd., PK24",35
1647,"Brenton Studio™ Single Wall Pockets, Letter Size, Black, Pack Of 3 Item # 851583",36
1661,E346956031480 - Shrink Fit Holders,37
1690,"Teacher Created Resources US Map Bulletin Board Display, 1 set",38
1709,"Pres-A-Ply Laser Address Labels, 1 x 2-5/8, White, 3000/Box",39
1710,"Pres-A-Ply Laser Address Labels, 1 x 2-5/8, White, 3000/Box",39
1729,"Ballymore # SEP3-3648 ( 9P502 ) - Roll Work Platform, Steel, Single, 30 In.H, Each",40
1796,"Genuine Joe 4-Pack 10 qt. Utility Buckets - 10 quart - Steel - Blue, Red, Yellow, Green Item # 926609",41
1880,Scotch Magic Desktop Tape Dispenser (810k10c38pr),42
1892,Bankers Box Quick/Stor Storage Box,43
1932,Universal Office Products 95225 Storage Box,44
1967,"VELCRO® Brand Industrial Strength Tape, 2' x 4', Black Item # 744981",45
2005,1954 10C Roosevelt Dime,46
2172,Quality Park Redi-Strip Business Envelope - Security - #10 - 9.50' Width x 4.13' Length - 24 lb - Self-sealing - Wove - 500 / Box - White Item # 806671,47
