,Titles,Cluster_num
0,"Offering you a complete choice of products which include Restaurant Uniform Chef Coat, Restaurant Uniform Waistcoat and Chef Shirt.",-1
1426,Dan Weiss - Timshel,-1
1425,"Adams® Carbonless 2-Part Sales Book, 4 3/16' x 7 3/16' Item # 702946",-1
1424,"Tyan Motherboard, 5000V, Dual Xeon DC, SSI CEB, Max 8GB DDR2, 2PCIEX, PCIX, 2PCI, 2GBE, SATA",-1
1423,2003 Martin D-18 Golden Era Sunburst – SOLD,-1
1422,2003 Martin D-18 Golden Era Sunburst – SOLD,-1
1421,"$39,525 2017 Chevrolet Silverado 1500 Custom",-1
1420,"Snap Action, Limit Switches",-1
1419,Om Half-Zip Top - Women's,-1
1418,Om Half-Zip Top - Women's,-1
1417,Om Half-Zip Top - Women's,-1
1416,22 in. Side Mount Drawer Slide (1-Pair),-1
1415,22 in. Side Mount Drawer Slide (1-Pair),-1
1414,Fluted Collection Venetian Bronze 4.25 in. Bin Pull,-1
1427,FLEX SYST X240 M5 COMPUTE NODE BLAD,-1
1413,2009 Hyundai Santa Fe GLS(208) 733-1825,-1
1411,Personal Narrative of a Journey to the Equinoctial Regions of the New Continent: Abridged Edition (Penguin Classics),-1
1410,Personal Narrative of a Journey to the Equinoctial Regions of the New Continent: Abridged Edition (Penguin Classics),-1
1409,Supco RIM597 Replacement for Whirlpool 2198597 8 Cube Icemaker,-1
1408,Osma 21.5mm x 3m Solvent Weld Overflow Plain Ended Pipe White ABS,-1
1407,278C4QHSN 27in IPS-LED VGA/HDMI (16:9) 1920x1080 Tilt Stand,-1
1406,4dr Sedan V6 CVT 3.5 SV w/Premium Pkg ONE OWNER!! LEATHER!! BACK UP CAMERA!! SUN,-1
1404,Pierburg - EGR Valve Motor (Part Number: 701132110),-1
1403,tea packaging bag/high quality tea bag/tea and coffee packaging bag,-1
1402,Jaguar XF 2016,-1
1401,"Kumalae, S101 Kumalae S101 Rgf 1-1 Resonator Guitar, Right Handed",-1
1400,Hinkley Brynmar Medium Fluorescent Outdoor Wall Mount,-1
1399,Jabra Single Unit Headset Charger,-1
1398,"Global Gizmos Battery Operated Crystal Starball Disco Light, Plastic,",-1
1412,Aruba 2930F 48G PoE+ 4SFP - switch - 48 ports - managed - rack-mountab,-1
1428,FLEX SYST X240 M5 COMPUTE NODE BLAD,-1
1429,Draper 800025 Fixed Frame Projection Screen,-1
1430,Baby Girl Print Stripe with Embroidery Set,-1
1459,Auto Repair For Dummies,-1
1458,"WypAll X80 Foodservice Towels Extended-Use Wipers with Anti-Microbial, White, 150 sheets (1 box)",-1
1457,"WypAll X80 Foodservice Towels Extended-Use Wipers with Anti-Microbial, White, 150 sheets (1 box)",-1
1456,"WypAll X80 Foodservice Towels Extended-Use Wipers with Anti-Microbial, White, 150 sheets (1 box)",-1
1455,"LED Desk Lamp-SMAZ LIFE Reading Lamp with Extra-long neck and touch sensitive dimmable technology, 4.5W, With Clamp, Cool White light(4500-5000K)",-1
1454,Alarm Clock Pro,-1
1453,Schneider Electric ZB6AD07,-1
1452,Athlete Workout Tank,-1
1451,Voitures Miniatures car model 1:43 DINKY TOYS 24Q car model Alloy Diecast Car Toy,-1
1450,"Hudson Bearings 5/8"" Stainless Steel Main Ball with 1/4"" Stud in Stainless Steel Housing SMBT-5/8SS",-1
1449,15 Amp 3-1/4 HP 5-Speed Corded Router,-1
1448,Marketing in the Moment: The Practical Guide to Using Web 3.0 Marketing to Reach Your Customers First,-1
1447,"7/B195 Goodyear/Contitech Hy-T® Torque Team® V-Belt, 21/32"" Width, 198"" Length",-1
1446,Brocade FES12GCF FastIron Edge Ethernet Switch,-1
1445,Otterbox 6pnfza9 Defender Series For Galaxy S5 Black Case 3-layer Rugged Cover,-1
1444,Otterbox 6pnfza9 Defender Series For Galaxy S5 Black Case 3-layer Rugged Cover,-1
1443,A Just and Generous Nation: Abraham Lincoln and the Fight for American Opportunity,-1
