,keys,cluster_num
0,number_of_rings,292
1,wireless_lan_standard,293
2,copier_type,294
3,modem,295
4,wired_connectivity,296
5,1st_row_lcd_monitors,297
6,minimum_sink_holes_required,298
7,connection_size_in,299
8,page_format,300
9,handle,301
10,dated_format,302
11,flow_rate_gallons_per_minute,303
12,faucet_type,304
13,hz,305
14,grip_type,306
15,liner_material,307
16,closure,308
17,dietary_information,309
18,discs,310
19,included_components,311
20,built-in_devices,312
21,targeted_group,313
22,age_group,314
23,sport_interest,315
24,glass_door,316
25,gallon_door_storage,317
26,spill_safe_shelves,318
27,optical,319
28,slide-out_shelves,320
29,cantilever_shelves,321
30,air_pollution_score_ap,322
31,fragrance_type,323
32,quantity_in_basket,324
33,corecladding_diameter,325
34,us_size,326
35,contents_per_unit,327
36,phone,328
37,email,329
38,number_of_pins,330
39,lid_type,331
40,count,332
41,fiber_optic_mode,333
42,skin_type,334
43,sewer,335
44,resolution_tvl,336
45,california_title_20_compliant,337
46,comment,338
47,scanner_type,339
48,power_windows-front_rear,340
49,audio-aux_input_usb_socket,341
50,dubbed,342
51,dial_markers,343
52,carrying_options,344
53,guarantee,345
54,refrigerator_type,346
55,regular_unleaded,347
56,dome_type,348
57,supply_type,349
58,oemcompatible,350
59,dcof_rating,351
60,zoom_type,352
61,scent,353
62,ships_via_ups,354
63,body_colour-bumpers,355
64,moq,356
65,best_use,357
66,passenger_volume,358
67,vehicle_tax_cost,359
68,ved_band,360
69,quantity_sold,361
70,neck_material,362
71,number_of_gears,363
72,number_of_teeth,364
73,latex_free,365
74,quick_freeze,366
75,metal_stamp,367
76,fretboard,368
77,top,369
78,child_lock,370
79,enclosure_rating,371
80,humidity_controlled_crispers,372
81,commercial,373
82,phase,374
83,adjustable_door_bins,375
84,towing_capacity,376
85,power_tool_accessory_type,377
86,freezer,378
87,capacity_volume,379
88,sleeps,380
89,board_features,381
90,activity,382
91,interiorexterior,383
92,model_code,384
93,front,385
94,frequency_of_use,386
95,length_of_ownership,387
96,handle_included,388
97,sweater,389
98,connection,390
99,sweatshirt,391
100,number_of_pci_express_x16_slots,392
101,flash_sync_terminal,393
102,flash_compensation,394
103,display_fixture_type,395
104,effective_pixels,396
105,live_view,397
