,keys,cluster_num
1446,colour_of_product,1
588,shade_color_family,1
590,fixture_colorfinish_family,1
1395,light_color,1
1504,color_supported,1
1510,shade_shape,1
609,colour_type,1
843,product_colour,1
1355,interior_colour,1
1346,handle_color,1
29,color_family,1
32,colour,1
160,fabric_color_family,1
823,main_colour,1
1569,interior_colorfinish_family,1
1572,exterior_colorfinish_family,1
2052,secondary_color,1
1291,material_color,1
353,metal_color,1
762,exterior_color,1
765,interior_color,1
73,colorfinish,1
491,color_support,1
1275,marketing_color,1
65,colors,1
1567,hardware_colorfinish_family,1
1940,shade_type,1
465,color_category,1
1865,cover_color,1
1447,product_color,1
195,fixture_colorfinish,1
1,color,1
1694,true_color,1
1456,shade_color,1
14,color_type,1
584,shade_material,1
728,primary_color,1
203,colorfinish_family,1
1944,specification,2
2,specifications,2
2091,total_number_of_network_ports,3
644,number_of_network_rj-45_ports,3
4,total_number_of_usb_ports,3
1471,number_of_usb_ports,3
1580,usb_ports,3
682,number_of_usb_30_ports,3
1586,ethernet_lan_rj-45_ports,3
1587,usb_20_ports_quantity,3
1588,ethernet_lan,3
646,ethernet_technology,3
683,number_of_usb_20_ports,3
105,ethernet,3
736,ethernet_port,3
979,total_number_of_ports,3
1179,number_of_ports,3
1364,usb_port,3
738,gigabit_ethernet_port,3
1949,processor_cores,4
6,processor_core,4
1202,number_of_external_525_bays,5
7,number_of_total_expansion_bays,5
1594,number_of_35_bays,5
8,hard_drive_interface,6
178,drive_interface,6
1054,processor_generation,7
9,processor_type,7
10,copyright_holder,8
977,copyright,8
290,compression_ratio,9
974,compression,9
13,compression_type,9
1953,battery_size_supported,10
1101,battery_chemistry,10
485,battery,10
713,number_of_batteries,10
1907,number_of_batteries_required,10
1109,battery_included,10
516,battery_size,10
16,batteries_included,10
1391,usable_battery_types,10
1656,battery_power_type,10
1950,number_of_batteries_supported,10
612,batteries,10
59,contained_battery_type,10
805,power_type,10
1658,number_of_batteries_included,10
1213,battery_technology,10
285,battery_type,10
991,tool_type,11
504,product_features,11
1532,storage_product_type,11
1339,product,11
332,product_type_name,11
1960,tooling_type,11
925,paint_product_type,11
22,product_type,11
347,product_category,11
707,product_name,11
1652,kitchen_product_type,11
17,producttypename,11
343,tools_product_type,11
1632,decor_product_type,11
463,storage_type,11
374,product_information,11
1074,paint_type,11
1706,electrical_product_type,11
434,global_product_type,11
1520,binding_type,12
18,binding,12
306,product_group,13
19,productgroup,13
21,voltage,14
1036,voltage_required,14
1698,input_voltage,14
1347,voltage_type,14
28,uv_protected,15
1258,uv_protection,15
1010,uv_resistant,15
902,seating_type,16
951,seats,16
863,seating,16
835,rear_seats,16
1676,seat_style,16
830,max_seating_capacity,16
33,seating_capacity,16
1441,seat,16
907,total_seating,16
1597,front_seats,16
34,dishwasher_safe,17
1481,dishwasher,17
1906,dishwasher_safe_parts,17
35,is_portable,18
700,portable,18
1491,available,19
36,edition,19
37,dimensions,20
538,dimension,20
1256,dimension_type,20
43,paperback,21
223,hardcover,21
48,general_style,22
235,style_type,22
1126,specific_style,22
1278,amperage_amps,23
53,amps,23
1641,fuel_type_diesel,24
543,fuel_system,24
55,fuel_type,24
910,fuel_type_petrol,24
414,self_timer,25
1157,self-timer,25
56,timer,25
1886,is_assembly_required,26
151,assembly,26
58,assembly_details,26
159,assembly_required,26
1643,transmission_type_automatic,27
62,transmission,27
1796,transmission_type,27
912,transmission_type_manual,27
861,transmissions_available,27
1068,total_recycled_content,28
1393,recycled_content,28
106,total_recycled_content_percent,28
327,postconsumer_recycled_content,28
64,post-consumer_recycled_content_percent,28
560,pre-consumer_recycled_content_percent,28
66,category,29
1187,categories,29
1267,back_material,30
68,backing_material,30
1828,cleaning_method,31
69,cleaning_instructions,31
1331,area_rug_style,32
71,rug_material,32
70,rug_weave,32
72,approximate_rug_size,32
1184,rug_shape,32
1183,area_rug_pattern,32
815,special_features,33
74,features,33
1611,feature,33
331,packaging_type,34
77,packaging,34
790,standard_packaging,34
1850,mounting_options,35
241,mount_type,35
593,mount_location,35
779,mount,35
78,mounting_style,35
1063,mounting,35
1007,mounting_type,35
96,compatible_mountings,35
79,knob_type,36
82,knob_color,36
1506,knob_shape,36
2004,knob_style,36
1777,knob_material,36
80,csa_file,37
1954,csa_listed,37
2067,csa,37
1648,optic_material,38
89,lens_type,38
95,lens_design,38
1667,lens,38
81,lens_color,38
2104,lens_coating,38
941,lens_material,38
1647,optic_type,38
1232,number_of_elements,39
84,number_of_operators,39
931,number_of_strings,39
575,number_of_pieces,39
381,number_of_items_included,39
308,number_of_items,39
2031,bulbs_included,40
1507,bulb_shape,40
1508,bulb_type,40
1006,bulbgas_type,40
201,light_bulb_type_included,40
855,bulb_included,40
1595,replaceable_bulb_included,40
86,light_module_type,40
1042,light_bulb_included,40
1396,light_type,40
551,light_bulb_base_code,40
1043,light_bulb_type,40
591,recommended_light_bulb_shape_code,40
396,bulb_mode,40
586,bulb_type_included,40
1223,commercial_light_type,40
345,type_of_bulb,40
2064,lighting_type,40
515,bulb_base,40
97,maximum_aperture,41
91,minimum_aperture,41
1668,max_aperture,41
1399,diaphragm_blades,42
99,number_of_diaphragm_blades,42
323,number_of_blades,42
399,digital_zoom,43
100,optical_zoom,43
152,printing_color,44
101,print_color,44
1361,wifi,45
102,wi-fi,45
397,built-in_wi-fi,45
1185,use,46
746,intended_use,46
109,usage,46
647,used_for,46
633,for_use_with,46
110,tyre_size_rear,47
115,tyre_size_front,47
244,tyre_rear_size,47
122,tyre_size_spare,47
246,tyre_front_size,47
256,fuel_capacity,48
117,fuel_tank_capacity_litres,48
1420,fuel_tank_capacity,48
1238,recommended_fuel,48
245,fuel_consumption,48
182,fuel,48
770,max_towing_weight-unbraked,49
120,max_towing_weight-braked,49
1209,exterior_length,50
1011,overall_height,50
999,exterior_height,50
1539,exterior_body_width,50
121,height,50
433,paper_finish,51
1534,paper_finish_type,51
1792,end_type,51
126,finish_type,51
1350,energy_star_compliant,52
896,energy_star_rated,52
127,energy_star_qualified,52
1203,energy_star,52
801,energy_star_certified,52
131,glass_type,53
1222,glasslens_type,53
192,no_of_doors,54
1718,doors_windows,54
911,doors_5,54
1098,rear_door_type,54
261,doors,54
1435,color-door_handles,54
135,door_handing,54
136,door_style,54
890,door,54
1087,no_of_door_bins,54
1911,door_lock,54
1091,door_color,54
132,door_type,54
133,included,55
1230,includes,55
142,frame_material,56
712,frame,56
1129,frame_construction,56
942,frame_shape,56
1672,connector,57
2081,connectors,57
144,connector_type,57
490,input_connectors,57
145,platform,58
176,platform_supported,58
1031,flutes,59
808,number_of_flutes,59
147,no_of_flutes,59
1208,system_of_measurement,60
1286,measurement_standard,60
148,measurement_type,60
992,measurementtype,60
455,measurement_system,60
1271,measuring_system,60
305,print_technology,61
154,printing_technology,61
157,frame_primary_finish,62
361,frame_finish,62
158,returnable,63
1065,returns,63
162,patio_furniture_features,64
838,furniture_features,64
1409,furniture_style,64
1371,care_instruction,65
163,care_instructions,65
679,fabric_content,66
760,fabric,66
164,fabric_type,66
167,sold_by,67
501,for_sale_by,67
170,clasp,68
1804,clasp_type,68
2017,moisture_resistant,69
208,water_resistant,69
283,moisture_resistance,69
581,water-resistant,69
171,water_resistance,69
215,case_size,70
174,case_thickness,70
187,hardware_finish_family,71
1412,hardware_finish,71
194,cover,72
1009,cover_material,72
197,actual_color_temperature_k,73
199,color_temperature,73
1915,colour_temperature_k,73
1518,colour_rendering_index,74
202,color_rendering_index,74
206,shipping,75
661,shipping_from,75
623,international_shipping,75
372,collection_name,76
209,collection,76
211,case_material,77
1612,case_quantity,77
213,strap_color,78
1997,strap_colour,78
220,band_color,79
1979,band_colour,79
221,strap_material,80
1793,strap_type,80
222,grade_level,81
568,grade,81
224,age_range,82
639,age,82
1064,recommended_age_range,82
233,mosaic_sub_unit_length_in,83
231,mosaic_sub_unit_width_in,83
1319,professional_residential,84
232,commercial_residential,84
239,security,85
1928,security_system,85
254,rim_size_rear,86
243,rim_size_front,86
247,fuel_extra_urban,87
674,fuel_urban,87
666,no_of_cylinder,88
986,number_of_cylinders,88
1417,cylinders-bore,88
693,cylinders-bore_mm,88
249,cylinders,88
251,release_date,89
1106,release_year,89
1593,split_folding_rear_seat,90
255,seats-2nd_row_split_fold,90
263,wheel_diameter,91
781,wheel_size,91
1608,wheel_material,92
842,wheel_style,92
763,rear_wheel_material,92
761,front_wheel_material,92
265,wheel_type,92
267,low_temp_range_f,93
783,ambient_temperature_range,93
280,high_temp_range_f,93
272,mounting_plate,94
1713,mounting_plate_width,94
1712,mounting_plate_length,94
1677,caster_material,95
1473,casters_included,95
278,caster_rig_type,95
622,casters,95
1607,caster_type,95
620,rolling,96
279,rolling_ease,96
288,age_of_youngest_child,97
286,age_of_oldest_child,97
298,rear_shoulder_room,98
834,front_headroom,98
1003,rear_hiproom,98
292,front_legroom,98
766,rear_headroom,98
296,front_hiproom,98
295,rear_legroom,98
1356,front_shoulder_room,98
994,corner_radius,99
294,turning_radius,99
297,bodystyle,100
889,bodystyle1,100
299,drive_line,101
985,drive_side,101
302,seller,102
650,sellerid,102
391,locations,103
303,location,103
304,brand,104
1872,sub-brand,104
1191,sub_brand,104
597,compatible_brand,104
982,brand_type,104
937,pointing_device_connectivity_technology,105
958,wireless_phone_connectivity,105
500,network,105
1720,internet_connectivity,105
558,network_communication,105
310,connectivity,105
1155,hardware_connectivity,105
537,connectivity_technology,105
1077,wireless,105
1926,wireless_technology,105
681,wireless_type,105
980,network_technology,105
1359,networking,105
1589,max_screen_resolution,106
311,maximum_print_resolution,106
1936,maximum_horizontal_resolution,106
1939,display_resolution_maximum,106
324,payment_condition,107
1020,type_of_payment,107
1197,payment_terms,107
431,hard_drive_type,108
970,drive_style,108
956,drive_size,108
2040,hard_drive,108
1075,drive_width,108
329,drive_type,108
2102,hard_drive_size,108
2083,exteriorbody,109
330,exterior,109
574,warranty_labor_days,110
1895,warranty_description,110
576,warranty_type_included,110
341,warranty,110
1603,general_warranty,110
725,product_warranty,110
492,warranty_type,110
1825,warranty_length,110
1269,warranty-parts,110
1268,warranty-labor,110
695,warranty_years,110
346,calendar,111
1521,calendar_type,111
1898,calendar_term,111
348,hands,112
1871,hand,112
1696,bezel_function,113
351,bezel,113
1697,bezel_material,113
1349,number_of_hdmi_inputs,114
1362,hdmi_inputs,114
860,number_of_hdmi_outputs,114
357,hdmi,114
1167,hdmi_type,114
873,certification,115
1415,certifications_standards,115
1196,standard,115
364,standards,115
844,certifications,115
458,interface_type,116
369,interface,116
1613,interfacesports,116
599,upholstery,117
380,upholstery_material,117
382,adjustable_height,118
1142,adjustable_back_angle,118
1137,adjustable_arm_width,118
1133,adjustable_arm_height,118
1131,adjustable_back_height,118
1873,coating_type,119
1290,coated,119
387,coating_product_category,119
567,coating,119
556,remote_control_included,120
402,remote_control,120
1166,viewfinder_type,121
422,eye-level_viewfinder,121
404,viewfinder,121
405,camera_format,122
442,camera,122
1452,camera_type,122
1453,front_camera,122
1838,rear_view_camera,122
849,camera_technology,122
1729,rear_camera,122
547,fastener_thread_type,123
1785,thread_standard,123
1862,fastener_head_style,123
971,fastener_type,123
416,thread_type,123
2054,fastener_style,123
1918,fasteners_included,123
965,image_stabilization,124
418,optical_image_stabilization,124
420,included_memory_type,125
432,memory_type,125
470,memory_specification_compliance,125
1206,memory_standard,125
1310,usable_memory_types,125
1466,computer_memory_type,125
1165,external_memory_included,125
1502,touch_screen,126
421,touchscreen,126
