,Prod_ID,titles,keys,values,cluster_num
354,ID_2662,"LG MP88HV 24"" (16:9) IPS LED, 1920x1080, 5MS, VGA, HDMI (2), BORDERLESS, VESA, SPKRS, 3YR 24MP88HV-S","['aspect_ratio', 'brightness', 'contrast_ratio']","['16:9', '250 cd/m2', '1000:1']",a3
4323,ID_11160,E606958 - Elo 1528L Medical Misc,"['color', 'vesa_mount_standard', 'product']","['Dark Gray', '75 x 75', 'LCD Touchscreen Monitor']",a3
11819,ID_6943,"HP Mounting Bracket for Computer, Thin Client - Black","['product', 'vesa_mount_standard']","['Mounting Bracket', '100 x 100']",a3
11820,ID_2884,"Amer Networks Stand Based Dual Monitor Mount for two 24""-32"" LCD/LED Flat Panel Screens","['product', 'vesa_mount_standard', 'device_supported']","['Desk Mount', '100 x 100', 'Flat Panel Display']",a3
12801,ID_7461,E304159 - Elo 2243L POS Touch Computer,"['response_time', 'vesa_mount_standard', 'color', 'product']","['5 ms', '100 x 100', 'Black', 'Open-frame LCD Touchscreen Monitor']",a3
5729,ID_13005,"Samsung XL30 30"" LED Display","['energy_star', 'interface', 'response_time', 'technology', 'qty', 'connector', 'packaged_quantity', 'vertical_viewing_angle', 'humidity_range_operating', 'widescreen', 'form_factor', 'vertical_viewing_angle', 'compatibility', 'color']","['Yes', 'DVI , VGA (HD-15)', '6 ms', 'TFT active matrix', '4', '4 pin USB Type A', '1', '178', '10 - 80%', 'Widescreen', 'Internal', '178', 'Mac , PC', 'Black']",a3
11818,ID_10784,Samsung S19E200BR,"['product', 'vertical_viewing_angle', 'response_time', 'backlight', 'mount', 'aspect_ratio', 'vertical_viewing_angle', 'screen_mode']","['LCD Monitor', '160°', '5 ms', 'LED', 'Wall Mountable', '5:4', '170°', 'SXGA']",a3
16083,ID_4840,"Dell P2314T 23"" Widescreen LED Touchscreen Monitor - 8,000,000:1...","['vga', 'response_time', 'touchscreen', 'backlight', 'aspect_ratio', 'vertical_viewing_angle', 'screen_mode', 'hdmi', 'usb', 'product', 'vertical_viewing_angle', 'color', 'contrast_ratio']","['Yes', '8 ms', 'Yes', 'LED', '16:9', '178°', 'Full HD', 'Yes', 'Yes', 'LCD Touchscreen Monitor', '178°', '16.7 Million Colors', '1,000:1']",a3
15835,ID_5188,4GB HD Wrist Watch Camera Hidden Camcorder,"['usb_standard', 'video_format']","['USB 2.0', 'AVI']",a3
6029,ID_18289,3400 Series Bronze Mount 4C Pedestal Mailbox with 20 MB1 Doors/2 PL,"['feature', 'assembly', 'security', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved', 'color']","['Corrosion Resistant,Engravable', 'Yes', 'Locking', 'Browns / Tans', 'Post Mount', 'Bronze', 'No', 'Bronze']",a3
4322,ID_16910,"Elo 1919L 19"" LED LCD Touchscreen Monitor - 16:9 - 5 ms","['color', 'vesa_mount_standard']","['Black', '200 x 200']",a3
9347,ID_2588,3400 Series 63-1/4 in. 13 Door High Unit Gray 4C Pedestal Mailbox with 5 MB1 Doors/1 PL6,"['number_of_compartments', 'feature', 'assembly', 'security', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved', 'color']","['5', 'Corrosion Resistant,Engravable', 'Yes', 'Locking', 'Grays', 'Post Mount', 'Gray', 'No', 'Gray']",a3
9349,ID_6118,Aluminum Recessed-Mounted USPS Access Vertical Mailbox with 4 Door,"['number_of_compartments', 'feature', 'returns', 'color', 'security', 'assembly', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved']","['4', 'Corrosion Resistant', '30-Day', 'Aluminum', 'Locking', 'Yes', 'Grays', 'Wall Mount', 'Gray', 'Yes']",a3
9353,ID_148,3700 Series 48 in. 13 Door High Unit Gold Private Front Loading 4C Horizontal Mailbox with 6 MB1 Doors/1 PL5,"['number_of_compartments', 'security', 'hardware_finish', 'assembly', 'color', 'mount', 'us_postmaster_general_approved', 'color']","['6', 'Locking', 'Gold', 'Yes', 'Yellows / Golds', 'Wall Mount', 'No', 'Gold']",a3
11788,ID_5268,Asus P3B 3D Ready DLP Projector - 16:10,"['product', 'security', 'http', 'lamp_type']","['DLP Projector', 'Kensington lock', '//usa.asus.com', 'LED']",a3
13079,ID_861,"Asus Chromebook C300SA-DS02-RD 13.3"" Chromebook - Intel Celeron N3060 Dual-core (2 Core) 1.60 GHz - Red",['security'],['Kensington lock'],a3
13081,ID_16660,Designer Vertical Wall-Mount Locking Medium Mailbox with Venetian Bronze,"['security', 'assembly', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved']","['Locking', 'Yes', 'Metallics', 'Wall Mount', 'Bronze', 'Yes']",a3
13082,ID_7136,"1,590 Valiant Dark Bronze Pedestal Mount Locking 4 Compartment Parcel Locker Mailbox","['security', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved', 'assembly']","['Locking', 'Browns / Tans', 'Post Mount', 'Brown', 'Yes', 'Yes']",a3
13083,ID_82,0.02 - 55.5 GPH Tygothane 65 PSI Peristaltic Pump 1/2' Hose Barb,"['security', 'display']","['Programmable 4-digit password.', '3 color VGA backlit LCD, UV resistant.']",a3
13084,ID_6987,3700 Series Private Rear Loading 6 Door High Unit 23-1/2 in. Parcel Locker 1 PL6 4C Horizontal Mailbox in Sandstone,"['security', 'feature', 'color', 'mount', 'us_postmaster_general_approved', 'assembly', 'color']","['Locking', 'Corrosion Resistant', 'Browns / Tans', 'Wall Mount', 'No', 'Yes', 'Sandstone']",a3
14471,ID_17297,2008 Saturn VUE XE,"['speed-sensing_steering', 'year', 'suspension_type-rear', 'power_windows', 'door', 'interior', 'illuminated_entry', 'air_conditioning', 'dual_front_impact_airbags', 'fuel', 'overhead_console', 'cd_player', 'drive', 'transmission', 'security', 'mp3_decoder', 'outside_temperature_display', 'front_reading_lights', 'door_mirrors', 'driver_door_bin', 'type', 'tachometer', 'color']","['Split folding rear seat', '2008', 'Front Bucket Seats', 'Radio data system', '4D Sport Utility', 'Gray', 'Low tire pressure warning', 'Anti-whiplash front head restraints', 'Dual front side impact airbags', 'Gasoline', 'Panic alarm', 'Cloth Seat Trim', 'FWD', '4-Speed Automatic', 'Speed control', 'Occupant sensing airbag', 'Overhead airbag', 'Fully automatic headlights', 'Power steering', 'Driver vanity mirror', 'Pre-Owned', 'Tilt steering wheel', 'silver']",a3
9348,ID_15982,Green Recessed-Mounted USPS Access Vertical Mailbox with 5 Doors,"['number_of_compartments', 'feature', 'returns', 'color', 'security', 'assembly', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved']","['5', 'Corrosion Resistant', '30-Day', 'Green', 'Locking', 'Yes', 'Greens', 'Wall Mount', 'Green', 'Yes']",a3
14785,ID_4723,Moesha Adjustable Height Chrome Bar Stool,"['swivel', 'frame', 'chair_type', 'assembly', 'color']","['Yes', 'Metal', 'Bar Height', 'Yes', 'Brown']",a3
13080,ID_6079,Designer Black Satin Nickel Decorative Emblem Vertical Wall-Mount Locking Mailbox,"['security', 'assembly', 'color', 'mount', 'hardware_finish', 'us_postmaster_general_approved']","['Locking', 'No', 'Blacks', 'Wall Mount', 'Black', 'Yes']",a3
1523,ID_8952,"20"" AOC e2051Sn 720p Widescreen Slim LED-Backlit LCD Monitor (Black)",['brightness'],['200 cd/m²'],a3
1526,ID_12156,Samsung C24FG70,"['brightness', 'productgroep']","['350 cd/m²', 'Monitors']",a3
5265,ID_3146,"Acer G276HLJ - LED monitor - 27""","['display_position_adjustments', 'color', 'brightness', 'panel_type', 'aspect_ratio', 'contrast_ratio']","['Tilt', 'Black', '250 cd/m²', 'TN', 'Widescreen - 16:9', '100000000:1 (dynamic)']",a3
16875,ID_2279,"ASUS VX248H Black 24"" 1ms (GTG) HDMI Widescreen LED Backlight LCD Monitor 250 cd/m2 80,000,000:1","['widescreen', 'hdmi', 'brightness', 'contrast_ratio', 'cabinet_color']","['Yes', '1', '250 cd/m2', '80,000,000:1', 'Black']",a3
5266,ID_17465,ASUS VS278Q-P 27' Widescreen LED Monitor,"['display_position_adjustments', 'color', 'vertical_viewing_angle', 'speaker', 'brightness', 'vertical_viewing_angle', 'color', 'backlight']","['Tilt', 'Black', '170', 'Integrated', '300 cd/m2', '160', '16.7 million colors', 'LED backlight']",a3
366,ID_7696,"AOC 22"""" LED MONITOR 1080P","['aspect_ratio', 'widescreen', 'brightness', 'screen_type', 'power_supply', 'cabinet_color']","['16:9', 'Yes', '200 cd/m2', 'Full HD', '100 - 240 VAC, 50/60Hz', 'Black']",a3
5716,ID_14543,"iiyama 17"" ProLite B1706S-1 LCD Monitor PLB1706S-B1","['energy_star', 'color', 'brightness', 'product', 'response_time', 'vga', 'aspect_ratio', 'contrast_ratio', 'screen_mode']","['Yes', 'Black', '250 cd/m²', 'LCD Monitor', '5 ms', 'Yes', '5:4', '800:1', 'SXGA']",a3
12788,ID_8231,HP Inc. Pavilion 25xw 25-inch IPS LED Backlit Monitor - Snow White and Natural Silver (J7Y65AA#ABA),"['response_time', 'aspect_ratio', 'brightness']","['7 ms gray to gray', '16:9', '250 cd/m²']",a3
