,unique_key,clus_num
0,brightness,a3
20,swivel,a3
22,vesa_mount_standard,a3
25,horizontal_viewing_angle,a3
36,vertical_viewing_angle,a3
44,usb_standard,a3
45,color_support,a3
46,mount_type,a3
49,general_warranty,a3
50,security,a3
51,accessory_type,a4
52,total_pixels,a4
61,storage,a4
71,flash_compensation,a4
78,live_view,a4
85,effective_pixels,a4
94,monitor_resolution,a4
102,flash_control,a4
109,flash_sync_terminal,a4
115,exposure_compensation,a4
119,sensor_size,a4
123,image_formats,a4
129,image_sensor_type,a4
130,is_autographed,a4
131,file_format,a4
132,contained_battery_type,a4
133,ethernet,a5
138,scan_format,a5
139,built-in_wi-fi,a5
141,remote_control,a5
143,cartridge_capacity,a6
144,printer_series,a6
145,delay-off_headlights,a7
146,mp3_decoder,a7
147,bodystyle,a7
148,mpg,a7
149,recommended_use,a8
153,maximum_print_resolution,a8
155,serial_port,a8
156,grid_pattern,a9
167,hardware_colorfinish_family,a9
178,u-factor,a9
188,interior_colorfinish_family,a9
199,window_use_type,a9
210,window_type,a9
221,exterior_colorfinish_family,a9
231,number_of_locks,a9
242,solar_heat_gain_coefficient,a9
252,lock_type,a9
263,crown,b1
267,clasp_type,b1
269,band_width,b1
271,band_colour,b1
272,functions,b1
274,luminiscence,b1
276,metal_type,b1
277,dial_markers,b1
278,case_thickness,b1
279,creator,b1
280,chronograph,b1
281,depth,b10
285,top_size,b10
293,base_size,b10
301,seat_material,b10
302,is_assembly_required,b10
303,package_weight,b11
321,point_angle,b11
322,product_weight,b11
325,number_of_edges,b11
328,hand,b11
332,sub-brand,b11
335,point,b11
336,shank,b11
337,insert_size,b11
338,date_last_updated,b11
339,cutting_direction,b11
340,bumpers,b13
343,roadside_assistance_coverage,b13
345,corrosion_perforation_warranty,b13
347,powertrain_warranty,b13
349,rear_window_defroster,b13
350,passenger_vanity_mirror,b13
351,amfm_radio,b13
352,fiber_optic_mode,b14
353,current_rating,b14
354,connector_on_second_end,b14
356,corecladding_diameter,b14
357,connector_on_first_end,b14
359,operating_temperature,b15
360,measurement_type,b16
372,city,b17
375,company,b17
378,ext_color,b17
379,printing_color,b18
381,water_dispenser,b19
382,light,b19
384,child_lock,b19
385,chip_inch_size,b2
393,specialist_type,b2
395,color_type,b2
404,compression,b2
406,rotation_angleso,b2
407,resolution_tvl,b2
413,sensitivity_lux,b2
417,dome_type,b2
423,signal_mode,b2
427,zoom_ratio,b2
429,electronic_shutter_range,b2
430,s_n_signal_noise_ratio_db,b2
433,presets,b2
435,ip_rating,b2
436,compression_type,b2
437,cartridge_yield_type,b20
441,drive_size,b22
450,points,b22
455,measuring_system,b22
457,socket_depth,b22
460,sae_or_metric,b22
463,standards,b22
464,item,b22
467,number_of_points,b22
468,payment_condition,b22
469,delivery_fob_port,b22
470,delivery_lead_time,b22
471,type_of_bulb,b23
476,color_temperature,b23
479,base_type,b23
480,wattage_watts,b23
481,watt_equivalence,b23
483,bulb_type,b23
487,light_color,b23
490,number_of_handles,b23
491,number_in_package,b23
493,case_quantity,b23
494,rechargeable,b24
495,terminal_type,b24
496,faucet_type,b25
506,valve_material,b25
516,connection_size_in,b25
526,minimum_sink_holes_required,b25
534,mount_location,b25
542,grey,b3
543,cosmetic_condition,b4
552,original_carrier,b4
562,front,b6
563,model_code,b6
564,regular_unleaded,b6
565,process_technology,b8
571,quickpath_interconnect,b8
582,processor_socket,b8
593,number_of_power_supplies_installed,b8
603,graphics_controller_model,b8
629,controller_type,b8
642,raid_levels,b8
648,number_of_processors_supported,b8
664,pointing_device_type,b8
670,unitate_optica,b8
677,chipset,b8
686,hyper-threading,b8
704,number_of_total_memory_slots,b8
720,processor_generation,b8
742,vpro_technology,b8
750,graphics_type,b8
763,wireless_lan_standard,b8
786,optical_drive,b8
803,operating_systems,b8
815,tip_ram,b8
823,optical_drive_type,b8
862,hdmi_ports,b8
863,installed_qty,b8
867,max_supported_qty,b8
870,speaker_type,b8
872,number_of_cores,b8
890,number_of_external_525_bays,b8
897,graphics,b8
904,remote_management_protocol,b8
905,sound_output_mode,b8
906,taa_compliant,b8
907,keyboard,b8
917,video_memory,b8
924,wlan,b8
928,server_scalability,b8
934,hard_drive,b8
939,networking,b8
944,usb_30,b8
945,optical_media_supported,b8
953,wired_connectivity,b8
961,graphics_memory_technology,b8
984,keyboard_type,b8
991,memory_card_reader,b8
1005,finger_print_reader,b8
1014,number_of_pci_express_x16_slots,b8
1025,wwan_supported,b8
1033,max_turbo_speed,b8
1038,compliant_standards,b8
1040,display_screen_technology,b8
1045,height_rack_units,b8
1049,power_redundancy,b8
1052,expansion_slots,b8
1053,speaker,b8
1054,card_description,b8
1063,more_from,b8
1066,estimated_delivery,b8
1067,number_of_batteries,b8
1068,graphics_processing_type,b8
1074,plating,b8
1075,number_of_35_bays,b8
1079,number_of_network_rj-45_ports,b8
1080,operating_system_edition,b8
1083,modem,b8
