,values,cluster_num
0,Macmillan,65
1,spiral,66
2,January to December,67
3,Industrial,68
4,Rated:5 stars!,69
5,Android 7.0,70
6,Rated: 5 stars!,71
7,Valves: 20,72
8,Gears: 7,73
9,Ultra Compact,74
10,"Earbud (In Ear),",75
11,2 pages per week/month,76
12,Micro SIM Card,77
13,Mexico,78
14,Padlockable,79
15,Belt with Ends Joined,80
16,Energy Star,81
17,GPS,82
18,Cleaners & Detergents-Laundry Soap,83
19,//www.garmin.com,84
20,204-pin,85
21,Water Proof,86
22,Sony E-mount,87
23,M8,88
24,traditional,89
25,regular year,90
26,weekly/monthly,91
27,General purpose,92
28,Impala,93
29,Translucent,94
30,"Cups-Cold Drink, Plastic",95
31,Network Unlocked,96
32,glossy,97
33,"PAL, Subtitled",98
34,Larger lot,99
35,Parts,100
36,4MX900,101
37,L1200,102
38,ALU,103
39,DA20,104
40,PG-13 Parents Strongly Cautioned,105
41,Relaxed,106
42,Laptop stands/coolers,107
43,Socket Cap,108
44,Walt Disney Studios Home Entertainment,109
45,Customized,110
46,Proximity Sensors,111
47,Push/Pull,112
48,Mixers,113
49,Non-pasted,114
50,Electrical,115
51,Electronic,116
52,Gas Range,117
53,"Indoor,Outdoor",118
54,PowerLite,119
55,Free shipping,120
56,Basic,121
57,high-quality material,122
58,LCD Projector,123
59,rubber cushion,124
60,Shanghai,125
61,Landscape,126
62,Water resistance,127
63,Brochure,128
64,Cottage Chic,129
65,Passive,130
66,999cc,131
67,"Chillicothe, Missouri,",132
68,unisex-baby,133
69,polycarbonate,134
70,Free-standing,135
71,Cac,136
72,Anti-theft alarm system,137
73,Eyewear,138
74,HEPA,139
75,"Multiple Formats, Box set, Color, NTSC",140
76,BBC Home Entertainment,141
77,BROWN,142
78,contoured,143
79,Part/Accessory,144
80,Software Licensing,145
81,DLP Projector,146
82,PG Parental Guidance Suggested,147
83,128-Bit,148
84,> Used Price Quote <,149
85,Polished Brass,150
86,New York,151
87,Mounting kit,152
88,"2 Rigid, 2 Swivel",153
89,Multiport Serial Adapter,154
90,Saree With Blouse,155
91,AURION,156
92,20 - 25 Top Color Family,157
93,: Combination Wrench,158
94,: SAE,159
95,: Full Polish,160
96,: 15 Degrees,161
97,Microphone,162
98,XLR,163
99,Football,164
100,LED LCD TVs,165
101,Slip-On,166
102,P20,167
103,Round Toe,168
104,Wall Mounted,169
105,512,170
106,Enclosures,171
107,EVF / LCD,172
108,Brushed Chrome,173
109,97 / 97 Wh,174
110,": ASME B30.9, OSHA, WSTDA",175
111,Select a width,176
112,Sail Yacht,177
113,Modern & contemporary fiction (post c 1945),178
114,General Entertainment,179
115,4 Porturi,180
116,Based on 0 rating(s),181
117,Marquette University,182
118,Image,183
119,Synthetic Rubber Hot Melt,184
120,1.9 mil,185
121,Screw Machine,186
122,cmos,187
123,optical viewfinder,188
124,Bible Studies > General - Studies,189
125,"WCDMA, GSM, FDD-LTE",190
126,2.5inx15mm SFF Server Drive,191
127,2 GB,192
128,Quad-core Processor,193
