,Prod_ID,titles,keys,values,cluster_num
0,ID_1,"Offering you a complete choice of products which include Restaurant Uniform Chef Coat, Restaurant Uniform Waistcoat and Chef Shirt.","['size', 'color']","['All Sizes', 'Black']",-1
8114,ID_11965,Strut in WHITE KG KURT GEIGER,['sole'],['synthetic'],-1
8115,ID_9104,Slim Pockets Design Pullover Neck Hoodie,"['dress_length', 'season', 'sleeve', 'package_contents']","['Long', 'Fall,Spring', 'Full', '1 x Hoodie']",-1
8118,ID_9098,Ford Transit 350 DC Tipper,"['year', 'transmission', 'fuel']","['2014', 'Manual', 'Diesel']",-1
8123,ID_9238,C. Wonder Stretch Twill Pull-On Ankle Pants,"['rise', 'inseam', 'fabrication', 'care', 'fit', 'content']","['slightly below the waist', ""missy/plus inseam 28'"", 'knit', 'machine wash, line dry', 'fitted; cut to follow the lines of the body', '95% cotton/5% spandex']",-1
8127,ID_9002,Mini Pixel Grabber™ II Wind Jacket - Toddler,"['waist', 'inseam', 'chest', 'hip', '3t', 'sleeve']","['19½', '13', '20', '21', '4T', '16']",-1
8129,ID_9013,Dear Mr. You,['paperback'],['240 pages'],-1
8131,ID_9016,LEGO Classic Large Creative Preschool Brick Box 4+,"['ships_to', 'location', 'free_shipping']","['GB & many other countries,', 'United Kingdom,', ', 30-Day Returns']",-1
8113,ID_9128,MEN Striped Low Cut Socks,['care'],"['Machine wash cold, gentle cycle']",-1
8132,ID_9017,Tact Squad® Police Bomber Jacket,"['size', 'color']","['Select Size', 'Select Color']",-1
8137,ID_12004,Stretch Blow Molding Machine from India,['power_source'],['Electric'],-1
8138,ID_11990,TRIBECCA HOME Cheshire 7-piece Traditional Dining Set,"['finish', 'assembly', 'color', 'dimension', 'shape']","['Espresso', 'Assembly Required', 'Brown', 'See Details', 'Rectangle']",-1
8139,ID_8989,Sexy Spaghetti Strap Wash Bodycon Women Dress,"['pattern_type', 'fabric', 'package_contents', 'dress_length', 'season', 'silhouette', 'sleeve']","['Solid', 'Denim', '1 x Dress', 'Mini', 'Summer', 'A-Line', 'Sleeveless']",-1
8141,ID_8994,Playmate Table,"['price', 'table_shape', 'style_type']","['Get Price', 'Rectangle', 'Contemporary']",-1
8142,ID_9001,"Evan-Moor® Daily Word Problems, Grade 5",['grade'],['4th grade; 5th grade; 6th grade'],-1
8145,ID_9096,Black Skinny Jean,"['wash_care', 'color']","['Machine Wash', 'Black']",-1
8147,ID_9162,Help us create a better Motor Trend Experience!,"['fuel_type', 'drivetrain']","['Unleaded Premium', 'FWD']",-1
8136,ID_8987,Saunders® lumbar traction - HomeTrac,['quantity'],['1'],-1
8112,ID_9110,Trekker Bermuda shorts,"['size', 'color']","['Choose an option', 'Choose an option']",-1
8109,ID_9124,ISO Insert - Grade KCU25,"['insert_type', 's-mm', 's-mm', 'rε-mm', 's-mm', 'type_of_cut']","['Positive', '6.35', '2.80', '0.40', '2.38', 'Finishing']",-1
8108,ID_9105,Garrett 1165800 SuperWand Metal Detector,['color'],['Black'],-1
8085,ID_8768,"YIYI ENTERPRISE CO., LTD.","['payment_terms', 'min_order']","['T/T', '500pcs']",-1
8086,ID_8773,Home Locomotion Crystal Blooms Candle Chandelier,"['productgroup', 'binding', 'product', 'color']","['Home', 'Kitchen', 'HOME', 'White']",-1
8087,ID_8763,2002 Chevrolet Malibu LS,"['drive_train', 'epa_classification', 'ground_clearance', 'width', 'seat', 'interior', 'center_console', 'horsepower', 'air_conditioning', 'transmission', 'mpg', 'door']","['Front Wheel Drive', 'Midsize', '5.7', 'Data Unavailable', '5', 'Cruise Control Power Windows', 'Power Outlet Rear Defrost', '170', 'A/C', 'Automatic w/OD', '29 Highway / 20 City', 'Data Unavailable']",-1
8088,ID_8758,Ottoman Storage Blanket Box Foot Stool Toy Bed Faux Linen Large Brown,['color'],['Brown'],-1
8089,ID_9602,Bondo 8 sq. ft. Fiberglass Mat,"['product', 'interiorexterior']","['Patching and Repair Product', 'Exterior,Interior']",-1
8093,ID_11797,"Beach Towel Yellow (32""x62"")",['care_and_cleaning'],"['machine wash,']",-1
8094,ID_8742,A Cabin Full of Food (Mostly a cookbook),['paperback'],['320 pages'],-1
8097,ID_11994,Sleep Inn O'Fallon,"['number_of_floors', 'check_in_time', 'year_last_renovated', 'check_in_time']","['3', '12:00 PM', '2004', '3:00 PM']",-1
8098,ID_9187,Tribest Personal Blender XL Blending Container,"['productgroup', 'product', 'color']","['Kitchen', 'Kitchen', 'Clear']",-1
8099,ID_11961,1928 2.0 litre Lagonda Tourer For Sale (1928),"['technical', 'interior', 'previous_owners', 'transmission', 'fuel', 'dimension']","['Emissions-', 'Seats-', '-', 'TypeManual, Gears-, Driven Wheels-', 'TypePetrol, Economy-', 'Vehicle height-, Vehicle width-']",-1
8100,ID_9153,"Stephanie Vaeth ""Honey Bees"" White Yellow Shower Curtain","['sold_by', 'category', 'assembly']","['KESS Global Inc.', 'Shower Curtains', 'No']",-1
8101,ID_9155,Square-D SQD JGL26000S25 Circuit Breaker Refurbished,['poles'],['2'],-1
8102,ID_9147,Adobe Press Book: Adobe Photoshop CC Classroom in a Book (2015 Release),"['pages', 'edition', 'format']","['384', 'First', 'Softcover']",-1
8103,ID_9150,Moleskine Address Book,['format'],['Imitation Leather'],-1
8104,ID_12018,Sage Glider Recliner by Coaster Furniture,['assembly'],['No'],-1
8105,ID_9122,Subaru BRZ Prices & Deals - Mississippi,"['transmission', 'engines_available', 'seat', 'wheel_drive']","['6-speed automatic, 6-speed manual', '2.0-liter 4 (205 hp)', '2 front, 2 rear', 'Rear']",-1
8106,ID_9225,The Proposal,"['rated', 'number_of_discs']","['Unrated Not Rated', '1']",-1
8149,ID_9106,Tomboy Pin,"['size', 'color']","['OS', 'BLACK']",-1
8150,ID_8988,Tough 1 Comfort Cribbing Collar,"['form', 'color']","['Collar', 'Brown']",-1
8151,ID_10971,Alex's Adventures in Numberland Paperback,['format'],['Paperback'],-1
8153,ID_11032,Deeptex Cotton Sarees,"['design', 'occasion']","['Printed', 'Party wear']",-1
8189,ID_10850,Magnetic Drive Centrifugal Pumps from India,['power_source'],['Electric'],-1
8190,ID_11913,Brontes,['format'],['Paperback'],-1
8191,ID_10833,Santic Men Cycling Short Jersey Pro Fit SANTIC N-FEEL High Tech Fabric Road Bike MTB Short Sleeve Top Riding Shirt KJ6301G,"['unit', 'sleeve']","['piece Package', 'Short']",-1
8193,ID_11892,"Nature Valley® Sweet And Salty Peanut Granola Bar, 1.8 Oz Item # 331990",['quantity'],['1'],-1
8195,ID_11910,Coming to America,"['pages', 'format']","['40', 'Paperback Book']",-1
8196,ID_10855,Striped Tassel Pillow - Blue - Threshold™,"['number_of_items', 'fill_material']","['1', 'Polyester,']",-1
8197,ID_10876,Fujifilm S8300 Review,"['viewfinder', 'shutter', 'sensor_size', 'resolution']","['EVF / LCD', '1/2000 - 8 seconds', '1/2.3 inch (6.2mm x 4.6mm)', '16.00 Megapixels']",-1
8198,ID_11237,Lucky Jim (New York Review Books Classics),['paperback'],['296 pages'],-1
8199,ID_10877,Crash and Burn 2016,['discs'],['Feature ages_15_and_over'],-1
8205,ID_11912,The Porcupine Paperback,"['pages', 'category', 'format']","['144 pages', 'Modern & contemporary fiction (post c 1945)', 'Paperback']",-1
8206,ID_11068,Persuade 2-piece 0.8 or 1.6 GPF Dual Flush Elongated Toilet in Almond,"['certifications_and_listings', 'height', 'color', 'commercial_residential', 'mount', 'included', 'bowl_shape', 'color', 'feature']","['IAPMO Certified', 'Standard Rough In Size', 'Beige', 'Residential', 'Floor Mount', 'Bolts', 'Elongated Bowl', 'Almond', 'No Additional Features']",-1
8208,ID_11045,Covidien T.E.D. Continuing Care Knee High Closed Toe Stockings,['black'],['White'],-1
8209,ID_10924,Transparent Clear Open Toe Ankle Strap Sandal…,"['heel_height', 'width']","['High (3 in. to 4.5 in.)', 'Medium (B, M)']",-1
8210,ID_10928,GAZELLE - Trainers - core black/white/gold metallic,['sole'],['Synthetics'],-1
8211,ID_11978,"Avila 30,000 BTU Envirostone Propane Fire Column","['housing_material', 'outdoor_living_product_type', 'color', 'assembly']","['Stainless Steel', 'Fire Pit', 'Silver', 'No']",-1
8213,ID_10931,Cube Attain GTC SL Disc 2017 Road Bike,['number_of_gears'],['22'],-1
8215,ID_10952,Crown - Crown Diamond Deluxe™ Duet Vinyl-Loop Scraper Mat,['unit'],['Each'],-1
8187,ID_11235,Destiny Undone - Book 1: A Billionaire Beach Romance,"['lending', 'x-ray', 'sold_by']","['Not Enabled', 'Not Enabled', 'Amazon Digital Services LLC']",-1
8084,ID_11729,Fitbit Surge Fitness Watch with Heart Rate Monitor (FB501BKLT),"['wired_connectivity', 'band_material', 'operating_system', 'network']","['USB', 'Polyurethane', 'Apple iOS', 'Bluetooth']",-1
8186,ID_11934,Hot Knobs Solids 3'' Center Bar Pull,"['thread_type', 'shape', 'number_of_items']","['Yes', 'Rectangle', '3']",-1
8183,ID_11911,Punch & Die Set for Bench Punch - 15/64″ Round Shape,['shape'],['Round'],-1
8154,ID_10852,Steiner 8x22 Miniscope Monocular,['magnification'],['8x'],-1
8155,ID_11697,Picnic Time Quarterback Cheese Board - Dallas Cowboys,['weight'],['Approx. 4 lbs.'],-1
8156,ID_10837,NcSTAR SC3RSM432B Compact Scope 4x32,"['department', 'reticle', 'objective', 'color']","['Optics › Scopes', 'Mil-Dot', '32mm', 'Blue']",-1
8159,ID_11701,"Don't Worry, Be Happy Coloring Book Treasury (HC) Adult Coloring Book","['age', 'age_group']","['12 Years & Up', 'Adult']",-1
8160,ID_10892,Pioneer Industries 6DM820 Del Mar Handheld Shower Set,['category'],['Shower Heads - 3753'],-1
8163,ID_11690,DRIVEN- HotRod & Classic Engine Oil,"['listing_type', 'views']","['Business', '53']",-1
8164,ID_10834,Charleston South Carolina Map Art - Watercolor Series | Wall Art Paint | Painted Water Color,"['end_type', 'pattern']","['Satin', 'Solid']",-1
8165,ID_10819,Auto Rear Lamp from India,['application'],['Automotive'],-1
8166,ID_11699,2012 PORSCHE CAYENNE CAYENNE,"['year_register', 'location', 'engine', 'year', 'transmission', 'mileage', 'color']","['2012', 'Kuala Lumpur', '3000cc', '2012', 'Automatic', '5,000 - 10,999km', 'Other']",-1
8167,ID_10820,NENE by NeNe Leakes Crepe Jersey Asymmetric Dress,"['size_choices', 'care', 'neck']","['XS-XL; 1X-3X', 'Hand wash, dry flat', 'Round']",-1
