,Prod_ID,titles,keys,values,cluster_num
0,ID_690,Replacement Notebook Battery for HP G62-b37SO 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
1,ID_4743,Replacement Notebook Battery for Sony VAIO VGN-NR410 Series 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,"['color', 'availability']","['Black', 'In-Stock']",a1
2,ID_12329,Replacement Notebook Battery for Toshiba Satellite M307 Series 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
3,ID_2698,Replacement Notebook Battery for Compaq Presario CQ62-206SO 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
4,ID_16899,Replacement Notebook Battery for Toshiba Satellite L305D-S5893 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
5,ID_7053,Replacement Notebook Battery for Acer Aspire 5680-6063 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,"['availability', 'color']","['In-Stock', 'Black']",a1
6,ID_10293,Replacement for CHICONY Laptop Battery (12 V 48 Wh Black 4000 mAh 6 cell Ni-MH),"['cell_material', 'rate', 'color', 'no_of_cell']","['Ni-MH', '48 Wh', 'Black', '6']",a1
7,ID_3324,Replacement Notebook Battery for Acer Aspire 7730-4931 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,"['availability', 'color']","['In-Stock', 'Black']",a1
8,ID_4967,Replacement for LENOVO Laptop Battery (10.8 V 71 Wh Black 6600 mAh 9 cell Li-ion),"['cell_material', 'color', 'no_of_cell']","['Li-ion', 'Black', '9']",a1
9,ID_1165,Replacement Notebook Battery for HP Pavilion g6-1035tx 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
10,ID_7487,Replacement Notebook Battery for Sony VAIO PCG-3C1L 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,"['color', 'availability']","['Black', 'In-Stock']",a1
11,ID_763,Replacement Notebook Battery for Acer Aspire V3-571-6805 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
12,ID_741,Replacement Notebook Battery for HP Pavilion g6-2395sa 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
13,ID_11852,Replacement Notebook Battery for HP Pavilion 15-ab025tx 14.8 Volt Li-ion Advanced Pro Series Laptop Battery,"['availability', 'color']","['In-Stock', 'Black']",a1
14,ID_8863,Replacement Notebook Battery for HP Pavilion dv5-1062tx 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
15,ID_16432,Replacement Notebook Battery for Compaq Presario CQ56-160SD 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,['color'],['Black'],a1
