,titles,keys,cluster_num
9211,2-Piece Snug Fit Cotton Christmas PJs,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
8506,5-Pack Tank Top Bodysuits,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6459,3-Piece Little Jacket Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
450,4-Piece Snug Fit Cotton PJs,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
532,Tiered Ruffle Strawberry Print Dress,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6742,Carter's Hello Slip-On Sneakers,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6358,Fleece Jumpsuit,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6363,French Terry Shorts,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
320,OshKosh Quilted Puffer Vest,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6722,Carter's Scalloped Rashguard Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6353,Cotton Snap-Up Sleep & Play,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
873,5-Pack Little Matey Sleeveless Original Bodysuits,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
7432,Carter's Every Step Stage 2 Shoe,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
936,Metallic Ribbed Cardigan,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9174,Carter's Faux Suede Laser-Cut Flats,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
595,3-Piece Babysoft Bodysuit & Pant Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9561,Dobby Stripe Button-Front Shirt,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
8988,3-Piece Poncho Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
7465,Long-Sleeve Dog Graphic Tee,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11240,Long-Sleeve Poodle Graphic Tee,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9827,Long-Sleeve Hooded Tee,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11150,Embellished Girlfriend Jeans - Nineties Wash,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
7029,Long-Sleeve Penguin Graphic Tee,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
8212,Floral Embroidered Romper,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6253,Poodle Leggings,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11348,2-Piece French Terry Pullover & Legging Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
10930,2-Piece Bodysuit Pant Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6538,3-Piece Little Vest Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11200,2-Piece Reindeer Top & Fleece Pant Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9323,Carter's Mary Jane Crib Shoes,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
10271,Crocs Dawson Easy-On Shoe,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11097,Fleece Zip-Up Sleep & Play,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9396,Paint Splatter Denim Overalls,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9614,Jersey-Lined Poplin Joggers,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
10287,Baseball Graphic Tee,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9403,One Cool Cat Graphic Tee,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
4410,Quilted Puffer Jacket,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6737,Striped Sunsuit,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11114,Terry Snap-Up Sleep & Play,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
7862,1-Piece Fleece PJs,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9227,Denim Jacket,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
10067,1-Piece Snug Fit Cotton PJs,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6714,Stride Rite Made2Play Soni Sandal,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6644,Saucony Ride 7 Sneaker,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
9294,Fleece Christmas Sleep Gown,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6632,Snow Fleece Hoodie,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
6646,Carter's Glitter Mary Jane Crib Shoes,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
4253,2-Piece Little Sweater Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
3704,2-Piece Babysoft Bodysuit Dress & Cardigan Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
7683,Printed Polo Romper,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
4579,Gingham Poplin Shirt Dress,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
5476,2-Piece Polo & Canvas Short Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
4386,2-Piece Chambray Button-Front & Canvas Short Set,"['age_of_oldest_child', 'number_of_kids', 'age_of_youngest_child']",1.0
11260,"Have a New Kid by Friday: How to Change Your Child's Attitude, Behavior & Character in 5 Days",['browse_similar_products_by_category'],2.0
6772,Shadow in Serenity,['browse_similar_products_by_category'],2.0
6505,A Plain and Simple Christmas,['browse_similar_products_by_category'],2.0
