,title,specs
0,"Offering you a complete choice of products which include Restaurant Uniform Chef Coat, Restaurant Uniform Waistcoat and Chef Shirt.","{'size': 'All Sizes', 'color': 'Black'}"
1,Acrylic Sheet in Surat,{'specifications': '-'}
2,"Netgear ReadyNAS 312 2-Bay, 2x2TB Desktop Drive","{'form_factor': 'Desktop', 'total_number_of_usb_ports': '3', 'product_series': '300', 'processor_core': 'Dual-core (2 Core)', 'number_of_total_expansion_bays': '2', 'hard_drive_interface': 'Serial ATA', 'processor_type': 'Atom'}"
3,Stochastic Calculus for Finance II,{'copyright_holder': 'Springer Science+Business Media New York'}
4,Stochastic Calculus for Finance II,{'copyright_holder': 'Springer Science+Business Media New York'}
5,Stochastic Calculus for Finance II,{'copyright_holder': 'Springer Science+Business Media New York'}
6,VIVOTEK IB8382-ET 5MP Bullet Network Camera,"{'chip_inch_size': '1/3', 'specialist_type': 'Network', 'compression_type': 'H.264, MJPEG', 'color_type': 'Color / Monochrome', 'sensitivity_lux': '0.001'}"
7,Rust-Oleum 7762830 Stops Rust Protective Enamel Spray,"{'batteries_included': 'No', 'size': '1 Pack', 'color': 'Red'}"
8,""" Packing List Enclosed"" Envelopes SHPPL405",{'color': 'Multi-Colored'}
9,Unique Bargains 4 Pcs Silver Tone Car Vehicle Tyre Tire Valve Stem Decorative Dust Cap Cover,{'color': 'Silver Tone'}
10,Master Craft 1.6 Liter Copper Watering Can,"{'producttypename': 'OUTDOOR_LIVING', 'binding': 'Lawn & Patio', 'productgroup': 'Lawn & Patio'}"
11,Savoy House Glades Weathered Wood Four-Light Pendant,"{'bulbwatt': '4 - 60 watt Candelabra bulbs', 'voltage': '110 to 120 Volt'}"
12,Thankar Latest Arrival Designer White Lehenga Choli,{'product_type': 'SEMI STITCHED'}
13,"Bessey STB-36 36"" x 7"" Heavy-Duty All-Steel Bar Clamp","{'return_policy': '30 Days', 'power_source': 'Hand', 'package_type': 'Individual'}"
14,StarTech.com Mini DisplayPort to HDMI™ Video Adapter Cable Item # 947751,"{'environmental_certification': 'RoHS; WEEE', 'color': 'black'}"
15,Breville You Brew BDC600XL coffee maker,{'programmable': 'Yes'}
16,13 in. EZ-Stretch Polyurethane Bungee Strap with Galvanized S-Hooks (Overall Length: 18 in.) in Military Green,"{'uv_protected': 'Yes', 'color_family': 'Greens'}"
17,"Women's Athletic Socks Pink 8-12, 4 pk - C9 Champion®","{'pattern': 'solid, no pattern applied', 'sizing': 'Women'}"
18,TecTake 3 in 1 Pushchair stroller combi stroller buggy baby jogger travel buggy kid's stroller brown with mosquito net + rain cover,"{'colour': 'Grey Verified Purchase', 'seating_capacity': '1', 'dishwasher_safe': 'No', 'is_portable': 'No'}"
19,Tough-1 Swivel No Knot,"{'size': 'No', 'color': 'No'}"
20,".NET Developer's Guide to Windows Security, The","{'edition': '1st Book', 'dimensions': '7x9-1/4'}"
21,".NET Developer's Guide to Windows Security, The","{'edition': '1st Book', 'dimensions': '7x9-1/4'}"
22,1-gal. Marsh Vertical Liquid Armor Resurfacer for Walls and Siding,"{'paintstain_clean_up': 'Soap & Water', 'color_family': 'Greens', 'sheen': 'Flat/Matte Brand', 'time_before_recoating_hours': '6', 'container_size': '1 GA-Gallon', 'tint_base': 'Base 1'}"
23,The Portable Henry Rollins,{'paperback': '320 pages'}
24,Jansport Superbreak Backpacks (White),{'color': 'White'}
25,Cut Resistant Gloves High Performance Level 5 Protection Food Grade Certified Kitchen and Work Safety Lightweight Breathable Size Large,"{'date_first_available': 'April 6, 2017', 'batteries_included': 'No', 'size': 'Large', 'color': 'Gray'}"
26,A Plain and Simple Christmas,{'browse_similar_products_by_category': 'Fiction > Romance'}
27,Lace-Up Ankle Supports,"{'size': 'Large', 'closure_type': 'Lace-Up', 'color': 'White'}"
28,Small Knotted Reef Candlestick,"{'price': 'Get Price', 'general_style': 'Transitional'}"
